stage,little,medium,big,vulkan,cuda,device,run
1,33.1854,7.1486,7.0253,5.3785,0.0,9b034f1b,1
2,27.0811,16.1677,19.0608,3.6545,0.0,9b034f1b,1
3,17.3114,3.7973,2.8632,3.3302,0.0,9b034f1b,1
4,14.0,8.3506,8.8392,2.2602,0.0,9b034f1b,1
5,9.3727,2.234,1.7622,2.15,0.0,9b034f1b,1
6,9.406,2.238,1.7103,2.15,0.0,9b034f1b,1
7,9.3433,2.2335,2.6527,2.1662,0.0,9b034f1b,1
8,7.3372,4.3942,4.7684,2.3407,0.0,9b034f1b,1
9,0.0332,0.0167,0.0138,0.857,0.0,9b034f1b,1
1,33.1258,7.1443,6.4293,5.4284,0.0,9b034f1b,2
2,32.7908,16.1323,20.6543,3.6511,0.0,9b034f1b,2
3,20.8299,3.7967,5.3759,3.328,0.0,9b034f1b,2
4,16.8687,8.3662,10.6404,2.3628,0.0,9b034f1b,2
5,11.2152,2.237,1.9901,2.1542,0.0,9b034f1b,2
6,9.3123,2.2356,2.8572,2.1537,0.0,9b034f1b,2
7,9.334,2.2336,1.7694,2.1611,0.0,9b034f1b,2
8,7.3143,4.4139,5.3633,2.3092,0.0,9b034f1b,2
9,0.0306,0.0155,0.0409,0.8372,0.0,9b034f1b,2
1,35.2606,7.15,6.4916,5.3781,0.0,9b034f1b,3
2,32.8693,16.2071,11.1381,3.6598,0.0,9b034f1b,3
3,20.6736,3.7959,5.2244,3.3265,0.0,9b034f1b,3
4,17.0819,8.335,9.4453,2.5422,0.0,9b034f1b,3
5,11.2494,2.2365,4.7287,2.1597,0.0,9b034f1b,3
6,11.2036,2.235,1.983,2.1528,0.0,9b034f1b,3
7,11.2265,2.2385,1.8865,2.1685,0.0,9b034f1b,3
8,8.8325,4.4187,5.7517,2.3296,0.0,9b034f1b,3
9,0.0339,0.017,0.0427,0.8551,0.0,9b034f1b,3
1,177.2414,73.3188,76.1667,1.5418,0.0,9b034f1b,1
2,10.7051,4.1998,5.016,1.0256,0.0,9b034f1b,1
3,415.2308,191.037,217.8696,1.2284,0.0,9b034f1b,1
4,5.3806,2.1218,1.3742,0.9655,0.0,9b034f1b,1
5,390.4615,190.2222,133.5,1.2458,0.0,9b034f1b,1
6,771.8571,375.7857,393.6154,1.5273,0.0,9b034f1b,1
7,776.8571,377.3571,270.7368,1.5281,0.0,9b034f1b,1
8,2.2542,1.0542,1.2392,0.8828,0.0,9b034f1b,1
9,1.0373,0.7828,0.94,2.2638,0.0,9b034f1b,1
1,145.9714,73.2319,91.9273,1.5465,0.0,9b034f1b,2
2,10.5877,4.205,4.7502,1.1195,0.0,9b034f1b,2
3,416.1538,190.4444,179.5714,1.2314,0.0,9b034f1b,2
4,5.8051,2.0995,1.4301,0.9193,0.0,9b034f1b,2
5,390.6923,189.6296,191.6296,1.2565,0.0,9b034f1b,2
6,637.625,378.2143,344.2,1.5213,0.0,9b034f1b,2
7,642.875,378.7143,375.0714,1.5269,0.0,9b034f1b,2
8,2.2481,1.0555,1.2142,0.8905,0.0,9b034f1b,2
9,1.0434,0.7824,0.5646,2.2675,0.0,9b034f1b,2
1,146.6571,72.9275,63.7595,1.5441,0.0,9b034f1b,3
2,8.9128,4.1884,4.8385,1.0305,0.0,9b034f1b,3
3,343.0667,190.4444,133.5263,1.2265,0.0,9b034f1b,3
4,4.4741,2.0964,2.4101,0.9581,0.0,9b034f1b,3
5,321.9375,191.9259,175.3448,1.18,0.0,9b034f1b,3
6,640.0,376.1429,322.125,1.4939,0.0,9b034f1b,3
7,641.25,378.4286,376.6429,1.5267,0.0,9b034f1b,3
8,2.247,1.0537,1.2391,0.8636,0.0,9b034f1b,3
9,1.0401,0.7819,0.8126,2.2602,0.0,9b034f1b,3
