stage,little,medium,big,vulkan,cuda,device,run
1,2.6363,0.9193,1.165,1.7282,0.0,9b034f1b,1
2,1.5607,0.8588,2.6363,40.4516,0.0,9b034f1b,1
3,0.6765,0.3706,0.6576,0.2169,0.0,9b034f1b,1
4,8.168,6.8333,4.1373,2.2735,0.0,9b034f1b,1
5,0.7044,0.2365,0.1692,1.1263,0.0,9b034f1b,1
6,0.3472,0.2737,0.5166,0.1858,0.0,9b034f1b,1
7,4.0933,2.0416,1.7725,2.0218,0.0,9b034f1b,1
1,2.6276,0.9205,1.1919,1.6971,0.0,9b034f1b,1
2,1.572,0.8606,1.769,40.5323,0.0,9b034f1b,1
3,0.6874,0.3642,0.6536,0.2173,0.0,9b034f1b,1
4,8.1266,6.8361,8.0048,2.2689,0.0,9b034f1b,1
5,0.7055,0.236,0.3034,1.0627,0.0,9b034f1b,1
6,0.3462,0.2814,0.5209,0.1862,0.0,9b034f1b,1
7,4.0741,2.0755,1.388,1.9984,0.0,9b034f1b,1
1,2.6282,0.9215,0.8433,1.7567,0.0,9b034f1b,1
2,1.5756,0.8609,2.2598,40.878,0.0,9b034f1b,1
3,0.6938,0.3638,0.6599,0.2168,0.0,9b034f1b,1
4,8.1183,6.8993,4.1245,2.5375,0.0,9b034f1b,1
5,0.7112,0.2369,0.225,1.043,0.0,9b034f1b,1
6,0.3507,0.2733,0.4093,0.1862,0.0,9b034f1b,1
7,4.0841,2.0635,2.5589,2.128,0.0,9b034f1b,1
