stage,little,medium,big,vulkan,cuda,device,run
1,370.5714,0.0,370.5714,32.0247,0.0,R9TR30814KJ,1
2,438.4167,0.0,404.6923,17.5953,0.0,R9TR30814KJ,1
3,173.3667,0.0,173.3667,16.5111,0.0,R9TR30814KJ,1
4,228.5455,0.0,209.5,8.8366,0.0,R9TR30814KJ,1
5,195.1481,0.0,164.6562,10.1522,0.0,R9TR30814KJ,1
6,168.375,0.0,168.375,10.4825,0.0,R9TR30814KJ,1
7,244.9048,0.0,190.4815,12.1012,0.0,R9TR30814KJ,1
8,250.2857,0.0,194.6667,6.5947,0.0,R9TR30814KJ,1
9,2.8305,0.0,0.8499,1.0825,0.0,R9TR30814KJ,1
1,353.2,0.0,378.4286,32.5031,0.0,R9TR30814KJ,2
2,407.7692,0.0,407.7692,17.7886,0.0,R9TR30814KJ,2
3,182.6071,0.0,189.3704,16.2834,0.0,R9TR30814KJ,2
4,244.2857,0.0,244.2857,8.8601,0.0,R9TR30814KJ,2
5,101.1,0.0,107.5532,8.2733,0.0,R9TR30814KJ,2
6,98.6154,0.0,104.6531,8.4066,0.0,R9TR30814KJ,2
7,100.7451,0.0,109.3191,8.4368,0.0,R9TR30814KJ,2
8,113.2,0.0,115.7727,4.5,0.0,R9TR30814KJ,2
9,2.103,0.0,0.6486,0.5793,0.0,R9TR30814KJ,2
1,349.6667,0.0,349.6667,32.3765,0.0,R9TR30814KJ,3
2,409.8462,0.0,409.8462,17.8792,0.0,R9TR30814KJ,3
3,179.7857,0.0,186.4444,16.2387,0.0,R9TR30814KJ,3
4,241.0909,0.0,252.5714,9.1606,0.0,R9TR30814KJ,3
5,95.7963,0.0,97.6038,8.4664,0.0,R9TR30814KJ,3
6,110.4348,0.0,110.4348,8.5666,0.0,R9TR30814KJ,3
7,201.3462,0.0,149.5714,9.3649,0.0,R9TR30814KJ,3
8,244.7143,0.0,171.3,5.6847,0.0,R9TR30814KJ,3
9,2.4013,0.0,0.6529,0.5775,0.0,R9TR30814KJ,3
1,6974.0,0.0,2324.6667,5.1813,0.0,R9TR30814KJ,1
2,141.2778,0.0,40.3651,2.7329,0.0,R9TR30814KJ,1
3,16808.0,0.0,16808.0,9.8407,0.0,R9TR30814KJ,1
4,82.4262,0.0,24.7685,1.5278,0.0,R9TR30814KJ,1
5,14648.0,0.0,7324.0,8.6114,0.0,R9TR30814KJ,1
6,27531.0,0.0,27531.0,17.4247,0.0,R9TR30814KJ,1
7,27516.0,0.0,27516.0,17.219,0.0,R9TR30814KJ,1
8,54.086,0.0,18.0935,0.9727,0.0,R9TR30814KJ,1
9,22.0969,0.0,19.2184,3.1627,0.0,R9TR30814KJ,1
1,7122.0,0.0,2374.0,5.1237,0.0,R9TR30814KJ,2
2,145.5429,0.0,40.752,2.7595,0.0,R9TR30814KJ,2
3,15366.0,0.0,15366.0,11.4076,0.0,R9TR30814KJ,2
4,93.0,0.0,28.5341,1.5857,0.0,R9TR30814KJ,2
5,14427.0,0.0,7213.5,8.427,0.0,R9TR30814KJ,2
6,27635.0,0.0,27635.0,17.5016,0.0,R9TR30814KJ,2
7,27837.0,0.0,27837.0,17.5186,0.0,R9TR30814KJ,2
8,59.3176,0.0,19.3923,0.9828,0.0,R9TR30814KJ,2
9,22.5561,0.0,19.1255,3.1379,0.0,R9TR30814KJ,2
1,7466.0,0.0,2488.6667,5.5592,0.0,R9TR30814KJ,3
2,154.3333,0.0,43.9052,2.6735,0.0,R9TR30814KJ,3
3,16821.0,0.0,16821.0,10.3387,0.0,R9TR30814KJ,3
4,89.8929,0.0,27.6593,1.5518,0.0,R9TR30814KJ,3
5,14335.0,0.0,7167.5,8.4923,0.0,R9TR30814KJ,3
6,27330.0,0.0,27330.0,17.2756,0.0,R9TR30814KJ,3
7,27450.0,0.0,27450.0,17.1028,0.0,R9TR30814KJ,3
8,53.1684,0.0,17.8481,0.9689,0.0,R9TR30814KJ,3
9,22.7692,0.0,19.2797,2.9775,0.0,R9TR30814KJ,3
