stage,little,medium,big,vulkan,cuda,device,run
1,31.3333,0.0,14.0694,5.4378,0.0,R9TR30814KJ,1
2,187.6667,0.0,75.7857,61.2353,0.0,R9TR30814KJ,1
3,119.5556,0.0,50.35,42.2083,0.0,R9TR30814KJ,1
4,186.1667,0.0,121.4444,18.2364,0.0,R9TR30814KJ,1
5,47.4091,0.0,25.2,3.34,0.0,R9TR30814KJ,1
6,59.2353,0.0,48.7619,39.7308,0.0,R9TR30814KJ,1
7,138.75,0.0,69.6667,17.8929,0.0,R9TR30814KJ,1
1,31.625,0.0,14.169,5.328,0.0,R9TR30814KJ,2
2,189.3333,0.0,75.5,62.1176,0.0,R9TR30814KJ,2
3,118.2222,0.0,50.75,41.6667,0.0,R9TR30814KJ,2
4,189.0,0.0,122.2222,18.0357,0.0,R9TR30814KJ,2
5,48.0952,0.0,26.1538,3.5387,0.0,R9TR30814KJ,2
6,59.4118,0.0,48.5714,39.7308,0.0,R9TR30814KJ,2
7,151.875,0.0,77.3077,13.9444,0.0,R9TR30814KJ,2
1,31.7812,0.0,14.3571,5.0402,0.0,R9TR30814KJ,3
2,196.1667,0.0,76.0714,61.8824,0.0,R9TR30814KJ,3
3,119.8889,0.0,51.2,41.875,0.0,R9TR30814KJ,3
4,190.3333,0.0,121.4444,17.7719,0.0,R9TR30814KJ,3
5,47.4545,0.0,26.0513,3.5035,0.0,R9TR30814KJ,3
6,58.6111,0.0,49.7143,39.3462,0.0,R9TR30814KJ,3
7,137.875,0.0,70.5333,20.0,0.0,R9TR30814KJ,3
1,498.3333,0.0,362.0,33.9,0.0,R9TR30814KJ,1
2,435.6667,0.0,308.25,21.8913,0.0,R9TR30814KJ,1
3,356.3333,0.0,169.6667,22.9091,0.0,R9TR30814KJ,1
4,223.4,0.0,144.7143,13.9306,0.0,R9TR30814KJ,1
5,111.5556,0.0,79.9231,15.9524,0.0,R9TR30814KJ,1
6,110.8,0.0,80.6923,18.9811,0.0,R9TR30814KJ,1
7,111.4444,0.0,79.9231,15.6719,0.0,R9TR30814KJ,1
8,108.8,0.0,73.0,14.0833,0.0,R9TR30814KJ,1
9,0.7998,0.0,0.3887,0.7805,0.0,R9TR30814KJ,1
1,423.0,0.0,324.0,33.8333,0.0,R9TR30814KJ,2
2,427.3333,0.0,286.25,24.0238,0.0,R9TR30814KJ,2
3,208.8,0.0,158.2857,23.0227,0.0,R9TR30814KJ,2
4,215.6,0.0,142.0,15.6562,0.0,R9TR30814KJ,2
5,109.3,0.0,81.0,17.2759,0.0,R9TR30814KJ,2
6,112.5556,0.0,80.3077,15.9365,0.0,R9TR30814KJ,2
7,109.8,0.0,79.9231,19.3269,0.0,R9TR30814KJ,2
8,108.9,0.0,71.5714,14.0833,0.0,R9TR30814KJ,2
9,0.7818,0.0,0.4029,0.6725,0.0,R9TR30814KJ,2
1,437.3333,0.0,317.75,33.7333,0.0,R9TR30814KJ,3
2,427.0,0.0,285.5,23.0909,0.0,R9TR30814KJ,3
3,216.4,0.0,160.8571,23.3488,0.0,R9TR30814KJ,3
4,216.4,0.0,146.8571,17.4655,0.0,R9TR30814KJ,3
5,110.5,0.0,79.9231,12.7342,0.0,R9TR30814KJ,3
6,113.0,0.0,82.3846,15.7188,0.0,R9TR30814KJ,3
7,110.3,0.0,80.3077,14.2394,0.0,R9TR30814KJ,3
8,109.8,0.0,73.2857,14.0278,0.0,R9TR30814KJ,3
9,0.7793,0.0,0.3816,0.7056,0.0,R9TR30814KJ,3
1,5455.0,0.0,1579.0,11.3708,0.0,R9TR30814KJ,1
2,109.1,0.0,23.0227,4.3565,0.0,R9TR30814KJ,1
3,13816.0,0.0,3690.0,6.7133,0.0,R9TR30814KJ,1
4,54.3684,0.0,11.6744,2.8254,0.0,R9TR30814KJ,1
5,13056.0,0.0,3387.0,4.2906,0.0,R9TR30814KJ,1
6,25541.0,0.0,6830.0,4.7183,0.0,R9TR30814KJ,1
7,25866.0,0.0,6844.0,4.7714,0.0,R9TR30814KJ,1
8,27.2162,0.0,5.7977,2.2388,0.0,R9TR30814KJ,1
9,17.8772,0.0,10.3299,7.1489,0.0,R9TR30814KJ,1
1,5481.0,0.0,1339.0,11.3483,0.0,R9TR30814KJ,2
2,109.2,0.0,23.0909,3.8538,0.0,R9TR30814KJ,2
3,13743.0,0.0,3422.0,6.526,0.0,R9TR30814KJ,2
4,54.8947,0.0,11.6628,2.8686,0.0,R9TR30814KJ,2
5,13081.0,0.0,3596.0,4.1967,0.0,R9TR30814KJ,2
6,25576.0,0.0,6770.0,4.763,0.0,R9TR30814KJ,2
7,25625.0,0.0,7150.0,4.5112,0.0,R9TR30814KJ,2
8,27.6757,0.0,5.8314,2.1478,0.0,R9TR30814KJ,2
9,17.807,0.0,10.09,7.5149,0.0,R9TR30814KJ,2
1,5393.0,0.0,1348.0,11.2584,0.0,R9TR30814KJ,3
2,107.8,0.0,23.4419,4.0688,0.0,R9TR30814KJ,3
3,13932.0,0.0,3388.0,6.7067,0.0,R9TR30814KJ,3
4,53.9474,0.0,11.6977,2.7889,0.0,R9TR30814KJ,3
5,13006.0,0.0,3352.0,4.319,0.0,R9TR30814KJ,3
6,25518.0,0.0,7081.0,4.7042,0.0,R9TR30814KJ,3
7,25859.0,0.0,6839.0,4.8878,0.0,R9TR30814KJ,3
8,27.2162,0.0,5.7045,2.1616,0.0,R9TR30814KJ,3
9,17.6491,0.0,10.1616,7.3897,0.0,R9TR30814KJ,3
