stage,little,medium,big,vulkan,cuda,device,run
1,28.1722,0.0,0.0,0.0,1.719,jetson,1
2,2.5163,0.0,0.0,0.0,0.3906,jetson,1
3,77.6287,0.0,0.0,0.0,3.7516,jetson,1
4,1.6014,0.0,0.0,0.0,0.2914,jetson,1
5,59.9091,0.0,0.0,0.0,4.3899,jetson,1
6,130.7617,0.0,0.0,0.0,8.6454,jetson,1
7,120.4607,0.0,0.0,0.0,9.0346,jetson,1
8,0.7852,0.0,0.0,0.0,0.2444,jetson,1
9,0.5502,0.0,0.0,0.0,0.4937,jetson,1
1,31.2773,0.0,0.0,0.0,1.6935,jetson,1
2,2.515,0.0,0.0,0.0,0.4367,jetson,1
3,65.5572,0.0,0.0,0.0,3.7461,jetson,1
4,1.6032,0.0,0.0,0.0,0.299,jetson,1
5,60.6705,0.0,0.0,0.0,4.5237,jetson,1
6,130.1666,0.0,0.0,0.0,8.6061,jetson,1
7,128.1621,0.0,0.0,0.0,8.5441,jetson,1
8,0.842,0.0,0.0,0.0,0.2729,jetson,1
9,0.4606,0.0,0.0,0.0,0.4784,jetson,1
1,28.1418,0.0,0.0,0.0,1.7619,jetson,1
2,2.6339,0.0,0.0,0.0,0.445,jetson,1
3,66.2958,0.0,0.0,0.0,3.8855,jetson,1
4,1.619,0.0,0.0,0.0,0.301,jetson,1
5,62.0926,0.0,0.0,0.0,4.5304,jetson,1
6,116.5191,0.0,0.0,0.0,8.7389,jetson,1
7,120.6573,0.0,0.0,0.0,9.0493,jetson,1
8,0.7842,0.0,0.0,0.0,0.2736,jetson,1
9,0.5592,0.0,0.0,0.0,0.496,jetson,1
1,31.5249,0.0,0.0,0.0,1.6841,jetson,1
2,2.4878,0.0,0.0,0.0,0.417,jetson,1
3,63.7233,0.0,0.0,0.0,3.6808,jetson,1
4,1.5183,0.0,0.0,0.0,0.2914,jetson,1
5,59.7287,0.0,0.0,0.0,4.3579,jetson,1
6,123.9692,0.0,0.0,0.0,9.3758,jetson,1
7,116.6654,0.0,0.0,0.0,8.6776,jetson,1
8,0.819,0.0,0.0,0.0,0.2852,jetson,1
9,0.5293,0.0,0.0,0.0,0.5112,jetson,1
