stage,little,medium,big,vulkan,cuda,device,run
1,27.4429,0.0,0.0,0.0,1.8744,jetson,1
2,1.5619,0.0,0.0,0.0,0.6301,jetson,1
3,62.93,0.0,0.0,0.0,3.8525,jetson,1
4,0.8306,0.0,0.0,0.0,0.5221,jetson,1
5,59.3439,0.0,0.0,0.0,4.4809,jetson,1
6,125.286,0.0,0.0,0.0,8.4543,jetson,1
7,123.554,0.0,0.0,0.0,8.6611,jetson,1
8,0.4754,0.0,0.0,0.0,0.2703,jetson,1
9,0.3428,0.0,0.0,0.0,0.7322,jetson,1
1,26.8139,0.0,0.0,0.0,1.9089,jetson,1
2,1.5378,0.0,0.0,0.0,0.7062,jetson,1
3,62.9376,0.0,0.0,0.0,3.8096,jetson,1
4,0.785,0.0,0.0,0.0,0.4651,jetson,1
5,59.0928,0.0,0.0,0.0,4.3467,jetson,1
6,117.2661,0.0,0.0,0.0,8.6287,jetson,1
7,117.5112,0.0,0.0,0.0,8.5339,jetson,1
8,0.4671,0.0,0.0,0.0,0.2522,jetson,1
9,0.3592,0.0,0.0,0.0,0.5668,jetson,1
1,26.6319,0.0,0.0,0.0,1.8096,jetson,1
2,1.5633,0.0,0.0,0.0,0.6299,jetson,1
3,65.1023,0.0,0.0,0.0,3.6655,jetson,1
4,0.8189,0.0,0.0,0.0,0.5507,jetson,1
5,63.2647,0.0,0.0,0.0,4.4741,jetson,1
6,122.9282,0.0,0.0,0.0,8.5751,jetson,1
7,127.4673,0.0,0.0,0.0,8.6117,jetson,1
8,0.4055,0.0,0.0,0.0,0.3941,jetson,1
9,0.3095,0.0,0.0,0.0,0.6861,jetson,1
1,26.9056,0.0,0.0,0.0,1.8204,jetson,1
2,1.6064,0.0,0.0,0.0,0.6666,jetson,1
3,63.4306,0.0,0.0,0.0,3.6547,jetson,1
4,0.8877,0.0,0.0,0.0,0.3879,jetson,1
5,65.0135,0.0,0.0,0.0,4.5174,jetson,1
6,116.5999,0.0,0.0,0.0,8.6229,jetson,1
7,122.2759,0.0,0.0,0.0,8.4674,jetson,1
8,0.4734,0.0,0.0,0.0,0.2428,jetson,1
9,0.3481,0.0,0.0,0.0,0.793,jetson,1
