stage,little,medium,big,vulkan,cuda,device,run
1,3.3147,0.0,0.0,0.0,2.7055,jetson,1
2,7.6142,0.0,0.0,0.0,1.3138,jetson,1
3,2.1934,0.0,0.0,0.0,2.8095,jetson,1
4,4.1589,0.0,0.0,0.0,1.0083,jetson,1
5,1.1857,0.0,0.0,0.0,1.8917,jetson,1
6,1.2385,0.0,0.0,0.0,1.4892,jetson,1
7,1.1569,0.0,0.0,0.0,2.4055,jetson,1
8,2.4318,0.0,0.0,0.0,0.6729,jetson,1
9,0.037,0.0,0.0,0.0,0.1677,jetson,1
1,3.3862,0.0,0.0,0.0,3.8368,jetson,1
2,7.1995,0.0,0.0,0.0,1.315,jetson,1
3,1.9216,0.0,0.0,0.0,2.9503,jetson,1
4,4.1368,0.0,0.0,0.0,1.1186,jetson,1
5,1.4611,0.0,0.0,0.0,1.6435,jetson,1
6,1.1296,0.0,0.0,0.0,2.3439,jetson,1
7,1.1346,0.0,0.0,0.0,2.0381,jetson,1
8,2.4642,0.0,0.0,0.0,0.671,jetson,1
9,0.0321,0.0,0.0,0.0,0.1971,jetson,1
1,3.7676,0.0,0.0,0.0,3.0095,jetson,1
2,7.5396,0.0,0.0,0.0,1.3551,jetson,1
3,1.8685,0.0,0.0,0.0,3.0166,jetson,1
4,3.8953,0.0,0.0,0.0,1.0593,jetson,1
5,1.1517,0.0,0.0,0.0,1.9819,jetson,1
6,1.1956,0.0,0.0,0.0,2.0848,jetson,1
7,1.1971,0.0,0.0,0.0,1.8229,jetson,1
8,2.6671,0.0,0.0,0.0,0.6415,jetson,1
9,0.042,0.0,0.0,0.0,0.1543,jetson,1
