stage,little,medium,big,vulkan,cuda,device,run
1,3.0632,0.0,0.0,0.0,3.2071,jetson,1
2,5.8457,0.0,0.0,0.0,1.6391,jetson,1
3,1.7934,0.0,0.0,0.0,2.0475,jetson,1
4,3.6045,0.0,0.0,0.0,1.1796,jetson,1
5,0.9264,0.0,0.0,0.0,1.423,jetson,1
6,0.9566,0.0,0.0,0.0,1.511,jetson,1
7,0.8855,0.0,0.0,0.0,1.6607,jetson,1
8,1.8131,0.0,0.0,0.0,0.8542,jetson,1
9,0.0171,0.0,0.0,0.0,0.2566,jetson,1
1,3.5895,0.0,0.0,0.0,2.765,jetson,1
2,6.0676,0.0,0.0,0.0,1.6298,jetson,1
3,1.5647,0.0,0.0,0.0,2.2125,jetson,1
4,3.0915,0.0,0.0,0.0,1.4287,jetson,1
5,1.008,0.0,0.0,0.0,1.488,jetson,1
6,0.9116,0.0,0.0,0.0,1.4459,jetson,1
7,0.8978,0.0,0.0,0.0,1.5748,jetson,1
8,1.9465,0.0,0.0,0.0,0.7913,jetson,1
9,0.0184,0.0,0.0,0.0,0.184,jetson,1
1,3.0224,0.0,0.0,0.0,3.1125,jetson,1
2,6.6799,0.0,0.0,0.0,1.7329,jetson,1
3,1.7347,0.0,0.0,0.0,2.2381,jetson,1
4,3.2479,0.0,0.0,0.0,1.2764,jetson,1
5,0.9413,0.0,0.0,0.0,1.4972,jetson,1
6,0.91,0.0,0.0,0.0,1.6698,jetson,1
7,1.0459,0.0,0.0,0.0,1.3832,jetson,1
8,1.7066,0.0,0.0,0.0,0.9305,jetson,1
9,0.018,0.0,0.0,0.0,0.4981,jetson,1
