stage,little,medium,big,vulkan,cuda,device,run
1,4.1474,0.0,0.0,0.0,3.0237,jetson,1
2,7.4465,0.0,0.0,0.0,1.8028,jetson,1
3,1.9865,0.0,0.0,0.0,2.2826,jetson,1
4,3.9713,0.0,0.0,0.0,1.3752,jetson,1
5,1.8839,0.0,0.0,0.0,1.4959,jetson,1
6,1.1464,0.0,0.0,0.0,1.5269,jetson,1
7,1.1558,0.0,0.0,0.0,1.3987,jetson,1
8,2.1505,0.0,0.0,0.0,1.0396,jetson,1
9,0.0197,0.0,0.0,0.0,0.2426,jetson,1
1,3.8108,0.0,0.0,0.0,3.0884,jetson,1
2,7.7102,0.0,0.0,0.0,1.8587,jetson,1
3,2.0022,0.0,0.0,0.0,2.084,jetson,1
4,3.9119,0.0,0.0,0.0,1.4419,jetson,1
5,1.1559,0.0,0.0,0.0,1.4192,jetson,1
6,1.146,0.0,0.0,0.0,1.5635,jetson,1
7,1.1488,0.0,0.0,0.0,1.4097,jetson,1
8,2.1378,0.0,0.0,0.0,0.7974,jetson,1
9,0.02,0.0,0.0,0.0,0.3521,jetson,1
1,4.2862,0.0,0.0,0.0,2.6194,jetson,1
2,7.8237,0.0,0.0,0.0,1.6094,jetson,1
3,2.1843,0.0,0.0,0.0,2.2038,jetson,1
4,3.9212,0.0,0.0,0.0,1.3856,jetson,1
5,1.1436,0.0,0.0,0.0,1.4484,jetson,1
6,1.1794,0.0,0.0,0.0,1.4965,jetson,1
7,1.1561,0.0,0.0,0.0,1.6273,jetson,1
8,2.141,0.0,0.0,0.0,0.9636,jetson,1
9,0.0195,0.0,0.0,0.0,0.203,jetson,1
1,4.1769,0.0,0.0,0.0,3.4646,jetson,1
2,7.2985,0.0,0.0,0.0,1.6081,jetson,1
3,1.978,0.0,0.0,0.0,2.2538,jetson,1
4,4.0986,0.0,0.0,0.0,1.2392,jetson,1
5,1.1769,0.0,0.0,0.0,1.456,jetson,1
6,1.1357,0.0,0.0,0.0,1.4491,jetson,1
7,1.1392,0.0,0.0,0.0,1.4418,jetson,1
8,2.1548,0.0,0.0,0.0,0.8118,jetson,1
9,0.0194,0.0,0.0,0.0,0.3931,jetson,1
