stage,little,medium,big,vulkan,cuda,device,run
1,0.9347,0.0,0.0,0.0,0.3343,jetson,1
2,4.1476,0.0,0.0,0.0,1.9155,jetson,1
3,0.7305,0.0,0.0,0.0,1.5949,jetson,1
4,3.4491,0.0,0.0,0.0,0.8891,jetson,1
5,0.3183,0.0,0.0,0.0,0.3285,jetson,1
6,0.7623,0.0,0.0,0.0,2.0267,jetson,1
7,1.2099,0.0,0.0,0.0,1.128,jetson,1
1,0.9923,0.0,0.0,0.0,0.3226,jetson,1
2,3.6936,0.0,0.0,0.0,1.9855,jetson,1
3,0.7764,0.0,0.0,0.0,1.5986,jetson,1
4,3.6536,0.0,0.0,0.0,0.8836,jetson,1
5,0.2213,0.0,0.0,0.0,0.2602,jetson,1
6,0.7273,0.0,0.0,0.0,1.843,jetson,1
7,1.2992,0.0,0.0,0.0,1.0791,jetson,1
1,0.9057,0.0,0.0,0.0,0.309,jetson,1
2,3.9891,0.0,0.0,0.0,2.0687,jetson,1
3,0.7668,0.0,0.0,0.0,1.7956,jetson,1
4,3.4497,0.0,0.0,0.0,0.8669,jetson,1
5,0.2993,0.0,0.0,0.0,0.3109,jetson,1
6,0.7697,0.0,0.0,0.0,1.6567,jetson,1
7,1.2454,0.0,0.0,0.0,1.1993,jetson,1
