stage,little,medium,big,vulkan,cuda,device,run
1,0.4956,0.0,0.0,0.0,0.6382,jetson,1
2,2.8237,0.0,0.0,0.0,1.8454,jetson,1
3,0.5113,0.0,0.0,0.0,0.9076,jetson,1
4,3.1927,0.0,0.0,0.0,1.2676,jetson,1
5,0.1634,0.0,0.0,0.0,0.3984,jetson,1
6,0.3891,0.0,0.0,0.0,0.6505,jetson,1
7,1.1229,0.0,0.0,0.0,1.3478,jetson,1
1,0.5176,0.0,0.0,0.0,0.5949,jetson,1
2,2.9798,0.0,0.0,0.0,2.198,jetson,1
3,0.3908,0.0,0.0,0.0,1.5556,jetson,1
4,3.1899,0.0,0.0,0.0,1.3648,jetson,1
5,0.163,0.0,0.0,0.0,0.237,jetson,1
6,0.384,0.0,0.0,0.0,0.7541,jetson,1
7,1.0833,0.0,0.0,0.0,1.2224,jetson,1
1,0.4831,0.0,0.0,0.0,0.3983,jetson,1
2,2.8973,0.0,0.0,0.0,1.9111,jetson,1
3,0.4464,0.0,0.0,0.0,0.8006,jetson,1
4,3.17,0.0,0.0,0.0,1.3678,jetson,1
5,0.1579,0.0,0.0,0.0,0.2388,jetson,1
6,0.4394,0.0,0.0,0.0,1.3791,jetson,1
7,1.0089,0.0,0.0,0.0,1.3443,jetson,1
