stage,little,medium,big,vulkan,cuda,device,run
1,0.6167,0.0,0.0,0.0,0.5143,jetson,1
2,3.5999,0.0,0.0,0.0,1.9289,jetson,1
3,0.4507,0.0,0.0,0.0,0.748,jetson,1
4,3.5455,0.0,0.0,0.0,1.3914,jetson,1
5,0.172,0.0,0.0,0.0,0.2485,jetson,1
6,0.4366,0.0,0.0,0.0,1.2789,jetson,1
7,1.1651,0.0,0.0,0.0,1.3011,jetson,1
1,0.6236,0.0,0.0,0.0,0.4991,jetson,1
2,3.5896,0.0,0.0,0.0,1.9974,jetson,1
3,0.4511,0.0,0.0,0.0,0.8634,jetson,1
4,3.5258,0.0,0.0,0.0,1.1516,jetson,1
5,0.1744,0.0,0.0,0.0,0.2476,jetson,1
6,0.4325,0.0,0.0,0.0,1.5724,jetson,1
7,1.1735,0.0,0.0,0.0,1.3359,jetson,1
1,0.6143,0.0,0.0,0.0,0.4382,jetson,1
2,3.5086,0.0,0.0,0.0,1.9253,jetson,1
3,0.4468,0.0,0.0,0.0,0.7296,jetson,1
4,3.5271,0.0,0.0,0.0,1.3275,jetson,1
5,0.1729,0.0,0.0,0.0,0.2479,jetson,1
6,0.5101,0.0,0.0,0.0,1.536,jetson,1
7,1.1761,0.0,0.0,0.0,1.3158,jetson,1
