stage,little,medium,big,vulkan,cuda,device,run
1,36.4432,0.0,0.0,0.0,1.742,jetson,1
2,5.2469,0.0,0.0,0.0,0.359,jetson,1
3,87.6095,0.0,0.0,0.0,3.8408,jetson,1
4,2.9692,0.0,0.0,0.0,0.3307,jetson,1
5,84.7778,0.0,0.0,0.0,4.454,jetson,1
6,169.4874,0.0,0.0,0.0,8.8737,jetson,1
7,165.2311,0.0,0.0,0.0,8.9392,jetson,1
8,1.4986,0.0,0.0,0.0,0.2476,jetson,1
9,0.6571,0.0,0.0,0.0,0.3914,jetson,1
1,36.2036,0.0,0.0,0.0,1.7341,jetson,2
2,5.4481,0.0,0.0,0.0,0.358,jetson,2
3,87.118,0.0,0.0,0.0,3.8337,jetson,2
4,2.9905,0.0,0.0,0.0,0.2938,jetson,2
5,86.0604,0.0,0.0,0.0,4.5094,jetson,2
6,165.2658,0.0,0.0,0.0,8.91,jetson,2
7,165.1494,0.0,0.0,0.0,8.9037,jetson,2
8,1.4822,0.0,0.0,0.0,0.2348,jetson,2
9,0.6691,0.0,0.0,0.0,0.3586,jetson,2
1,37.1331,0.0,0.0,0.0,1.7509,jetson,3
2,5.3487,0.0,0.0,0.0,0.3705,jetson,3
3,87.203,0.0,0.0,0.0,3.8259,jetson,3
4,2.9692,0.0,0.0,0.0,0.3362,jetson,3
5,85.2653,0.0,0.0,0.0,4.4876,jetson,3
6,168.1808,0.0,0.0,0.0,8.7899,jetson,3
7,164.7832,0.0,0.0,0.0,8.8994,jetson,3
8,1.4545,0.0,0.0,0.0,0.2598,jetson,3
9,0.6485,0.0,0.0,0.0,0.3931,jetson,3
