stage,little,medium,big,vulkan,cuda,device,run
1,3.89,0.0,0.0,0.0,2.405,jetson,1
2,9.2971,0.0,0.0,0.0,0.9493,jetson,1
3,2.2773,0.0,0.0,0.0,1.4809,jetson,1
4,5.6327,0.0,0.0,0.0,0.6992,jetson,1
5,1.5339,0.0,0.0,0.0,0.9238,jetson,1
6,1.56,0.0,0.0,0.0,0.8731,jetson,1
7,1.5474,0.0,0.0,0.0,0.9182,jetson,1
8,3.316,0.0,0.0,0.0,0.606,jetson,1
9,0.0427,0.0,0.0,0.0,0.1744,jetson,1
1,3.9016,0.0,0.0,0.0,2.414,jetson,2
2,9.5419,0.0,0.0,0.0,0.9468,jetson,2
3,2.279,0.0,0.0,0.0,1.5572,jetson,2
4,5.842,0.0,0.0,0.0,0.7116,jetson,2
5,1.5102,0.0,0.0,0.0,0.9177,jetson,2
6,1.5179,0.0,0.0,0.0,0.918,jetson,2
7,1.7525,0.0,0.0,0.0,0.8603,jetson,2
8,3.2875,0.0,0.0,0.0,0.5894,jetson,2
9,0.0415,0.0,0.0,0.0,0.1865,jetson,2
1,3.8962,0.0,0.0,0.0,2.4086,jetson,3
2,9.0111,0.0,0.0,0.0,0.9449,jetson,3
3,2.2586,0.0,0.0,0.0,1.5204,jetson,3
4,5.6434,0.0,0.0,0.0,0.7061,jetson,3
5,1.5098,0.0,0.0,0.0,0.938,jetson,3
6,1.502,0.0,0.0,0.0,0.9488,jetson,3
7,1.9891,0.0,0.0,0.0,0.7866,jetson,3
8,3.6076,0.0,0.0,0.0,0.5753,jetson,3
9,0.0418,0.0,0.0,0.0,0.2046,jetson,3
