stage,little,medium,big,vulkan,cuda,device,run
1,3.4157,0.0,0.0,0.0,2.3504,jetson,1
2,6.7218,0.0,0.0,0.0,1.1279,jetson,1
3,1.7764,0.0,0.0,0.0,1.4271,jetson,1
4,3.531,0.0,0.0,0.0,0.9968,jetson,1
5,1.0156,0.0,0.0,0.0,1.0547,jetson,1
6,1.0187,0.0,0.0,0.0,1.0392,jetson,1
7,1.0146,0.0,0.0,0.0,1.0291,jetson,1
8,1.9168,0.0,0.0,0.0,0.8038,jetson,1
9,0.0191,0.0,0.0,0.0,0.1766,jetson,1
1,3.3517,0.0,0.0,0.0,2.3592,jetson,2
2,6.7287,0.0,0.0,0.0,1.099,jetson,2
3,1.7542,0.0,0.0,0.0,1.3951,jetson,2
4,3.5292,0.0,0.0,0.0,0.9992,jetson,2
5,1.025,0.0,0.0,0.0,1.0517,jetson,2
6,1.0167,0.0,0.0,0.0,1.0967,jetson,2
7,1.0188,0.0,0.0,0.0,1.0684,jetson,2
8,1.9143,0.0,0.0,0.0,0.7172,jetson,2
9,0.0192,0.0,0.0,0.0,0.191,jetson,2
1,3.3433,0.0,0.0,0.0,2.3616,jetson,3
2,6.7036,0.0,0.0,0.0,1.1266,jetson,3
3,1.815,0.0,0.0,0.0,1.3908,jetson,3
4,3.5251,0.0,0.0,0.0,0.9884,jetson,3
5,1.0137,0.0,0.0,0.0,1.0854,jetson,3
6,1.0159,0.0,0.0,0.0,1.0487,jetson,3
7,1.022,0.0,0.0,0.0,1.038,jetson,3
8,1.9215,0.0,0.0,0.0,0.8171,jetson,3
9,0.019,0.0,0.0,0.0,0.1791,jetson,3
