stage,little,medium,big,vulkan,cuda,device,run
1,4.0569,0.0,0.0,0.0,3.5283,jetson,1
2,8.054,0.0,0.0,0.0,1.6586,jetson,1
3,2.2148,0.0,0.0,0.0,3.0521,jetson,1
4,4.4203,0.0,0.0,0.0,1.2897,jetson,1
5,1.3395,0.0,0.0,0.0,1.7523,jetson,1
6,1.3332,0.0,0.0,0.0,1.9255,jetson,1
7,1.3662,0.0,0.0,0.0,1.8283,jetson,1
8,2.8988,0.0,0.0,0.0,1.0437,jetson,1
9,0.0466,0.0,0.0,0.0,0.1818,jetson,1
1,4.208,0.0,0.0,0.0,3.5514,jetson,2
2,7.9697,0.0,0.0,0.0,1.7648,jetson,2
3,2.1172,0.0,0.0,0.0,3.262,jetson,2
4,4.5278,0.0,0.0,0.0,1.197,jetson,2
5,1.3239,0.0,0.0,0.0,2.0678,jetson,2
6,1.3632,0.0,0.0,0.0,1.7616,jetson,2
7,1.3307,0.0,0.0,0.0,1.8775,jetson,2
8,2.7884,0.0,0.0,0.0,0.8938,jetson,2
9,0.0382,0.0,0.0,0.0,0.5875,jetson,2
1,3.882,0.0,0.0,0.0,3.3837,jetson,3
2,8.3627,0.0,0.0,0.0,1.3766,jetson,3
3,2.1166,0.0,0.0,0.0,3.6943,jetson,3
4,4.6377,0.0,0.0,0.0,1.09,jetson,3
5,1.3358,0.0,0.0,0.0,2.0212,jetson,3
6,1.3085,0.0,0.0,0.0,2.1952,jetson,3
7,1.3139,0.0,0.0,0.0,2.1439,jetson,3
8,3.2733,0.0,0.0,0.0,0.7349,jetson,3
9,0.041,0.0,0.0,0.0,0.2587,jetson,3
1,34.9616,0.0,0.0,0.0,1.8203,jetson,1
2,2.6921,0.0,0.0,0.0,0.4936,jetson,1
3,78.9663,0.0,0.0,0.0,4.0576,jetson,1
4,1.9102,0.0,0.0,0.0,0.3393,jetson,1
5,74.4663,0.0,0.0,0.0,4.7822,jetson,1
6,154.1382,0.0,0.0,0.0,9.7204,jetson,1
7,143.8069,0.0,0.0,0.0,9.0689,jetson,1
8,0.921,0.0,0.0,0.0,0.2614,jetson,1
9,0.557,0.0,0.0,0.0,0.5281,jetson,1
1,34.9603,0.0,0.0,0.0,1.8137,jetson,2
2,2.7722,0.0,0.0,0.0,0.5151,jetson,2
3,80.3262,0.0,0.0,0.0,4.1603,jetson,2
4,1.7928,0.0,0.0,0.0,0.3342,jetson,2
5,74.269,0.0,0.0,0.0,4.7915,jetson,2
6,143.708,0.0,0.0,0.0,8.9817,jetson,2
7,144.3509,0.0,0.0,0.0,9.1032,jetson,2
8,0.9183,0.0,0.0,0.0,0.2999,jetson,2
9,0.5394,0.0,0.0,0.0,0.5189,jetson,2
1,35.1003,0.0,0.0,0.0,1.8575,jetson,3
2,2.8299,0.0,0.0,0.0,0.5098,jetson,3
3,81.8633,0.0,0.0,0.0,4.2064,jetson,3
4,1.7896,0.0,0.0,0.0,0.3394,jetson,3
5,74.6046,0.0,0.0,0.0,4.858,jetson,3
6,147.1036,0.0,0.0,0.0,9.3611,jetson,3
7,146.0409,0.0,0.0,0.0,9.1276,jetson,3
8,0.91,0.0,0.0,0.0,0.2382,jetson,3
9,0.5424,0.0,0.0,0.0,0.5176,jetson,3
