stage,little,medium,big,vulkan,cuda,device,run
1,3.9579,0.0,0.0,0.0,3.015,jetson,1
2,6.7215,0.0,0.0,0.0,1.7974,jetson,1
3,1.7622,0.0,0.0,0.0,2.3706,jetson,1
4,3.5298,0.0,0.0,0.0,1.3642,jetson,1
5,1.0223,0.0,0.0,0.0,1.3994,jetson,1
6,1.068,0.0,0.0,0.0,1.4035,jetson,1
7,1.0121,0.0,0.0,0.0,1.68,jetson,1
8,1.9275,0.0,0.0,0.0,1.0218,jetson,1
9,0.0191,0.0,0.0,0.0,0.2393,jetson,1
1,3.477,0.0,0.0,0.0,2.9953,jetson,2
2,6.7273,0.0,0.0,0.0,1.7724,jetson,2
3,2.5676,0.0,0.0,0.0,2.0923,jetson,2
4,8.7215,0.0,0.0,0.0,1.4289,jetson,2
5,3.5775,0.0,0.0,0.0,1.4106,jetson,2
6,1.3764,0.0,0.0,0.0,1.583,jetson,2
7,1.234,0.0,0.0,0.0,1.4093,jetson,2
8,2.0153,0.0,0.0,0.0,1.0751,jetson,2
9,0.0198,0.0,0.0,0.0,0.273,jetson,2
1,3.4942,0.0,0.0,0.0,3.5282,jetson,3
2,12.0542,0.0,0.0,0.0,1.4942,jetson,3
3,1.9283,0.0,0.0,0.0,2.3651,jetson,3
4,4.2414,0.0,0.0,0.0,1.3074,jetson,3
5,1.0306,0.0,0.0,0.0,1.6371,jetson,3
6,1.0383,0.0,0.0,0.0,1.4208,jetson,3
7,1.0228,0.0,0.0,0.0,1.5673,jetson,3
8,1.9353,0.0,0.0,0.0,0.9795,jetson,3
9,0.0177,0.0,0.0,0.0,0.1656,jetson,3
1,32.3097,0.0,0.0,0.0,1.991,jetson,1
2,1.7805,0.0,0.0,0.0,0.6441,jetson,1
3,76.9103,0.0,0.0,0.0,4.1769,jetson,1
4,0.8958,0.0,0.0,0.0,0.4465,jetson,1
5,72.8777,0.0,0.0,0.0,4.7787,jetson,1
6,144.9207,0.0,0.0,0.0,9.0725,jetson,1
7,142.1581,0.0,0.0,0.0,9.236,jetson,1
8,0.4551,0.0,0.0,0.0,0.2453,jetson,1
9,0.3475,0.0,0.0,0.0,0.5703,jetson,1
1,36.6209,0.0,0.0,0.0,1.915,jetson,2
2,1.7911,0.0,0.0,0.0,0.8026,jetson,2
3,76.2859,0.0,0.0,0.0,4.0904,jetson,2
4,0.9061,0.0,0.0,0.0,0.7502,jetson,2
5,72.6826,0.0,0.0,0.0,4.7478,jetson,2
6,143.7217,0.0,0.0,0.0,9.0196,jetson,2
7,143.0808,0.0,0.0,0.0,9.1555,jetson,2
8,0.4575,0.0,0.0,0.0,0.2487,jetson,2
9,0.3627,0.0,0.0,0.0,0.7911,jetson,2
1,32.4262,0.0,0.0,0.0,1.8865,jetson,3
2,1.7702,0.0,0.0,0.0,0.8203,jetson,3
3,77.2711,0.0,0.0,0.0,4.0398,jetson,3
4,0.9001,0.0,0.0,0.0,0.5783,jetson,3
5,74.5676,0.0,0.0,0.0,4.7183,jetson,3
6,156.2334,0.0,0.0,0.0,9.1776,jetson,3
7,146.4123,0.0,0.0,0.0,9.0364,jetson,3
8,0.4564,0.0,0.0,0.0,0.2402,jetson,3
9,0.3447,0.0,0.0,0.0,0.6501,jetson,3
