stage,little,medium,big,vulkan,cuda,device,run
1,79.9837,0.0,0.0,0.0,7.9081,jetsonlowpower,1
2,8.2998,0.0,0.0,0.0,1.1646,jetsonlowpower,1
3,190.9842,0.0,0.0,0.0,16.0921,jetsonlowpower,1
4,4.0459,0.0,0.0,0.0,0.6335,jetsonlowpower,1
5,183.5054,0.0,0.0,0.0,16.2088,jetsonlowpower,1
6,396.0482,0.0,0.0,0.0,31.5037,jetsonlowpower,1
7,377.0411,0.0,0.0,0.0,31.8544,jetsonlowpower,1
8,2.2779,0.0,0.0,0.0,0.9118,jetsonlowpower,1
9,0.9364,0.0,0.0,0.0,1.04,jetsonlowpower,1
1,80.4321,0.0,0.0,0.0,7.6713,jetsonlowpower,1
2,8.2244,0.0,0.0,0.0,1.0848,jetsonlowpower,1
3,191.8508,0.0,0.0,0.0,16.3616,jetsonlowpower,1
4,4.0015,0.0,0.0,0.0,0.8857,jetsonlowpower,1
5,184.9514,0.0,0.0,0.0,16.2757,jetsonlowpower,1
6,373.3193,0.0,0.0,0.0,31.8298,jetsonlowpower,1
7,383.5796,0.0,0.0,0.0,31.5538,jetsonlowpower,1
8,2.1132,0.0,0.0,0.0,0.7252,jetsonlowpower,1
9,0.8903,0.0,0.0,0.0,0.9816,jetsonlowpower,1
1,81.0167,0.0,0.0,0.0,7.5976,jetsonlowpower,1
2,8.1462,0.0,0.0,0.0,1.2186,jetsonlowpower,1
3,187.2218,0.0,0.0,0.0,16.2133,jetsonlowpower,1
4,3.9762,0.0,0.0,0.0,0.6163,jetsonlowpower,1
5,187.1333,0.0,0.0,0.0,16.1528,jetsonlowpower,1
6,366.8472,0.0,0.0,0.0,31.3297,jetsonlowpower,1
7,365.6393,0.0,0.0,0.0,31.2,jetsonlowpower,1
8,2.1127,0.0,0.0,0.0,0.4075,jetsonlowpower,1
9,0.8523,0.0,0.0,0.0,1.051,jetsonlowpower,1
