stage,little,medium,big,vulkan,cuda,device,run
1,8.9398,0.0,0.0,0.0,10.3081,jetsonlowpower,1
2,18.5451,0.0,0.0,0.0,3.316,jetsonlowpower,1
3,4.9914,0.0,0.0,0.0,6.0077,jetsonlowpower,1
4,10.261,0.0,0.0,0.0,1.8691,jetsonlowpower,1
5,2.981,0.0,0.0,0.0,3.5519,jetsonlowpower,1
6,2.983,0.0,0.0,0.0,3.3188,jetsonlowpower,1
7,3.0278,0.0,0.0,0.0,3.4205,jetsonlowpower,1
8,6.1146,0.0,0.0,0.0,1.3137,jetsonlowpower,1
9,0.0468,0.0,0.0,0.0,0.4991,jetsonlowpower,1
1,8.887,0.0,0.0,0.0,10.3529,jetsonlowpower,1
2,17.1786,0.0,0.0,0.0,3.2278,jetsonlowpower,1
3,4.9789,0.0,0.0,0.0,5.4987,jetsonlowpower,1
4,10.0755,0.0,0.0,0.0,1.8352,jetsonlowpower,1
5,3.1817,0.0,0.0,0.0,3.9303,jetsonlowpower,1
6,3.0551,0.0,0.0,0.0,3.6307,jetsonlowpower,1
7,3.122,0.0,0.0,0.0,3.3517,jetsonlowpower,1
8,6.2572,0.0,0.0,0.0,1.3208,jetsonlowpower,1
9,0.0563,0.0,0.0,0.0,0.3642,jetsonlowpower,1
1,8.9665,0.0,0.0,0.0,9.6562,jetsonlowpower,1
2,18.6082,0.0,0.0,0.0,3.0918,jetsonlowpower,1
3,4.7562,0.0,0.0,0.0,5.3098,jetsonlowpower,1
4,10.0368,0.0,0.0,0.0,1.9796,jetsonlowpower,1
5,3.0097,0.0,0.0,0.0,3.5415,jetsonlowpower,1
6,3.0371,0.0,0.0,0.0,3.7821,jetsonlowpower,1
7,2.9543,0.0,0.0,0.0,3.4416,jetsonlowpower,1
8,6.0649,0.0,0.0,0.0,1.345,jetsonlowpower,1
9,0.0411,0.0,0.0,0.0,0.6184,jetsonlowpower,1
1,8.6043,0.0,0.0,0.0,9.7738,jetsonlowpower,1
2,17.2851,0.0,0.0,0.0,3.1526,jetsonlowpower,1
3,4.9157,0.0,0.0,0.0,6.0048,jetsonlowpower,1
4,10.0673,0.0,0.0,0.0,1.8271,jetsonlowpower,1
5,3.0119,0.0,0.0,0.0,3.7147,jetsonlowpower,1
6,3.0189,0.0,0.0,0.0,3.4442,jetsonlowpower,1
7,2.9734,0.0,0.0,0.0,3.4316,jetsonlowpower,1
8,6.3115,0.0,0.0,0.0,1.347,jetsonlowpower,1
9,0.0421,0.0,0.0,0.0,0.5334,jetsonlowpower,1
