stage,little,medium,big,vulkan,cuda,device,run
1,1.3869,0.0,0.0,0.0,0.6307,jetsonlowpower,1
2,4.8676,0.0,0.0,0.0,2.5256,jetsonlowpower,1
3,0.653,0.0,0.0,0.0,1.6344,jetsonlowpower,1
4,7.9862,0.0,0.0,0.0,2.3455,jetsonlowpower,1
5,0.3775,0.0,0.0,0.0,0.6099,jetsonlowpower,1
6,0.6333,0.0,0.0,0.0,1.1122,jetsonlowpower,1
7,2.6857,0.0,0.0,0.0,2.0784,jetsonlowpower,1
1,1.3371,0.0,0.0,0.0,0.7333,jetsonlowpower,1
2,4.9207,0.0,0.0,0.0,2.6133,jetsonlowpower,1
3,0.6731,0.0,0.0,0.0,1.0523,jetsonlowpower,1
4,7.7596,0.0,0.0,0.0,2.6237,jetsonlowpower,1
5,0.3578,0.0,0.0,0.0,0.8084,jetsonlowpower,1
6,0.6291,0.0,0.0,0.0,1.3994,jetsonlowpower,1
7,2.6589,0.0,0.0,0.0,2.3003,jetsonlowpower,1
1,1.3525,0.0,0.0,0.0,0.8978,jetsonlowpower,1
2,4.8613,0.0,0.0,0.0,2.7406,jetsonlowpower,1
3,0.6601,0.0,0.0,0.0,1.1725,jetsonlowpower,1
4,7.8301,0.0,0.0,0.0,2.3609,jetsonlowpower,1
5,0.3569,0.0,0.0,0.0,0.4703,jetsonlowpower,1
6,0.6274,0.0,0.0,0.0,1.0159,jetsonlowpower,1
7,2.6736,0.0,0.0,0.0,2.2861,jetsonlowpower,1
