stage,little,medium,big,vulkan,cuda,device,run
1,70.915,0.0,0.0,0.0,7.3761,jetsonlowpower,1
2,6.3771,0.0,0.0,0.0,0.8491,jetsonlowpower,1
3,176.9467,0.0,0.0,0.0,15.8839,jetsonlowpower,1
4,3.221,0.0,0.0,0.0,0.5467,jetsonlowpower,1
5,173.6223,0.0,0.0,0.0,15.8649,jetsonlowpower,1
6,343.0181,0.0,0.0,0.0,30.998,jetsonlowpower,1
7,348.9806,0.0,0.0,0.0,30.9505,jetsonlowpower,1
8,1.6043,0.0,0.0,0.0,0.3737,jetsonlowpower,1
9,0.7905,0.0,0.0,0.0,0.7991,jetsonlowpower,1
1,71.1266,0.0,0.0,0.0,7.3921,jetsonlowpower,2
2,6.4468,0.0,0.0,0.0,0.8062,jetsonlowpower,2
3,178.4717,0.0,0.0,0.0,15.9131,jetsonlowpower,2
4,3.2488,0.0,0.0,0.0,0.5674,jetsonlowpower,2
5,172.487,0.0,0.0,0.0,15.8099,jetsonlowpower,2
6,342.5344,0.0,0.0,0.0,30.9139,jetsonlowpower,2
7,342.3144,0.0,0.0,0.0,31.007,jetsonlowpower,2
8,1.6426,0.0,0.0,0.0,0.4211,jetsonlowpower,2
9,0.7974,0.0,0.0,0.0,0.8021,jetsonlowpower,2
1,71.0948,0.0,0.0,0.0,7.3786,jetsonlowpower,3
2,6.2541,0.0,0.0,0.0,0.8405,jetsonlowpower,3
3,176.6835,0.0,0.0,0.0,15.9335,jetsonlowpower,3
4,3.2404,0.0,0.0,0.0,0.5806,jetsonlowpower,3
5,172.6386,0.0,0.0,0.0,15.9167,jetsonlowpower,3
6,341.7701,0.0,0.0,0.0,30.959,jetsonlowpower,3
7,341.8233,0.0,0.0,0.0,30.991,jetsonlowpower,3
8,1.6437,0.0,0.0,0.0,0.4413,jetsonlowpower,3
9,0.7996,0.0,0.0,0.0,0.8349,jetsonlowpower,3
