stage,little,medium,big,vulkan,cuda,device,run
1,7.3578,0.0,0.0,0.0,9.1468,jetsonlowpower,1
2,16.0871,0.0,0.0,0.0,2.755,jetsonlowpower,1
3,4.041,0.0,0.0,0.0,4.7965,jetsonlowpower,1
4,9.3036,0.0,0.0,0.0,1.5622,jetsonlowpower,1
5,2.5593,0.0,0.0,0.0,2.6389,jetsonlowpower,1
6,2.5373,0.0,0.0,0.0,2.628,jetsonlowpower,1
7,2.5763,0.0,0.0,0.0,2.6696,jetsonlowpower,1
8,6.1357,0.0,0.0,0.0,0.9485,jetsonlowpower,1
9,0.048,0.0,0.0,0.0,0.2993,jetsonlowpower,1
1,7.3786,0.0,0.0,0.0,9.129,jetsonlowpower,2
2,15.9787,0.0,0.0,0.0,2.7465,jetsonlowpower,2
3,4.0508,0.0,0.0,0.0,4.843,jetsonlowpower,2
4,9.265,0.0,0.0,0.0,1.5451,jetsonlowpower,2
5,2.5495,0.0,0.0,0.0,2.6508,jetsonlowpower,2
6,2.5467,0.0,0.0,0.0,2.6353,jetsonlowpower,2
7,2.5327,0.0,0.0,0.0,2.6466,jetsonlowpower,2
8,6.0465,0.0,0.0,0.0,0.9375,jetsonlowpower,2
9,0.0468,0.0,0.0,0.0,0.2892,jetsonlowpower,2
1,7.4997,0.0,0.0,0.0,9.142,jetsonlowpower,3
2,16.1457,0.0,0.0,0.0,2.776,jetsonlowpower,3
3,4.1644,0.0,0.0,0.0,4.8794,jetsonlowpower,3
4,9.2506,0.0,0.0,0.0,1.56,jetsonlowpower,3
5,2.5465,0.0,0.0,0.0,2.6185,jetsonlowpower,3
6,2.6283,0.0,0.0,0.0,2.6506,jetsonlowpower,3
7,2.5389,0.0,0.0,0.0,2.6325,jetsonlowpower,3
8,6.1232,0.0,0.0,0.0,0.9419,jetsonlowpower,3
9,0.0464,0.0,0.0,0.0,0.3287,jetsonlowpower,3
