stage,little,medium,big,vulkan,cuda,device,run
1,7.258,0.0,0.0,0.0,9.4391,jetsonlowpower,1
2,14.3774,0.0,0.0,0.0,2.7857,jetsonlowpower,1
3,3.7065,0.0,0.0,0.0,4.6183,jetsonlowpower,1
4,7.4579,0.0,0.0,0.0,1.6208,jetsonlowpower,1
5,2.1595,0.0,0.0,0.0,2.5134,jetsonlowpower,1
6,2.206,0.0,0.0,0.0,2.4858,jetsonlowpower,1
7,2.1528,0.0,0.0,0.0,2.4781,jetsonlowpower,1
8,4.0702,0.0,0.0,0.0,0.9936,jetsonlowpower,1
9,0.019,0.0,0.0,0.0,0.2437,jetsonlowpower,1
1,7.028,0.0,0.0,0.0,9.0311,jetsonlowpower,2
2,14.2357,0.0,0.0,0.0,2.7735,jetsonlowpower,2
3,3.7043,0.0,0.0,0.0,4.673,jetsonlowpower,2
4,7.405,0.0,0.0,0.0,1.6208,jetsonlowpower,2
5,2.1285,0.0,0.0,0.0,2.5828,jetsonlowpower,2
6,2.1437,0.0,0.0,0.0,2.5002,jetsonlowpower,2
7,2.207,0.0,0.0,0.0,2.4984,jetsonlowpower,2
8,4.0121,0.0,0.0,0.0,0.9864,jetsonlowpower,2
9,0.019,0.0,0.0,0.0,0.2557,jetsonlowpower,2
1,7.1907,0.0,0.0,0.0,9.0386,jetsonlowpower,3
2,14.2539,0.0,0.0,0.0,2.8657,jetsonlowpower,3
3,3.7094,0.0,0.0,0.0,4.655,jetsonlowpower,3
4,7.4155,0.0,0.0,0.0,1.5923,jetsonlowpower,3
5,2.1869,0.0,0.0,0.0,2.5197,jetsonlowpower,3
6,2.1658,0.0,0.0,0.0,2.5554,jetsonlowpower,3
7,2.1434,0.0,0.0,0.0,2.4758,jetsonlowpower,3
8,4.0222,0.0,0.0,0.0,0.9927,jetsonlowpower,3
9,0.0191,0.0,0.0,0.0,0.2647,jetsonlowpower,3
