/tmp/bt-android/samsung_sparse_best.json: 1 file pushed, 0 skipped. 23.0 MB/s (908 bytes in 0.000s)
[2026-06-17 00:52:13.274] [info] Pinable Lit cores: 0 1 2 3 
[2026-06-17 00:52:13.274] [info] Pinable Med cores: 4 5 6 
[2026-06-17 00:52:13.274] [info] Pinable Big cores: 7 8 
[2026-06-17 00:52:13.274] [info] Pinable Sup cores: 9 
[2026-06-17 00:52:30.174] [info] Loading schedule JSON from file: samsung_sparse_best.json
[2026-06-17 00:52:30.175] [info] Loaded 1 valid schedules from JSON
[2026-06-17 00:52:30.175] [info] Loaded 1 schedules
--------------------------------
Schedule 0 [UID: SCH-G7L2-G24717-0ad0]:
  Chunk 0 [Vulkan    ]: 1, 2, 3, 4, 5, 6, 7
  Chunk 1 [OMP/Little]: 8, 9
[2026-06-17 00:52:30.175] [info] Running 1/1 schedules

--------------------------------
[2026-06-17 00:52:30.175] [info] Available Vulkan Layers:
[2026-06-17 00:52:30.175] [warning] Validation layer requested but not available, continuing without it...
[2026-06-17 00:52:30.180] [info] Using integrated GPU: Samsung Xclipse 940
### Python Begin ###
Schedule_UID=SCH-G7L2-G24717-0ad0
Frequency=25600000 Hz
Task=0 Chunk=0 Start=3059221706808 End=3059229768422 Duration=8061614
Task=0 Chunk=1 Start=3059229768457 End=3059230121337 Duration=352880
Task=1 Chunk=0 Start=3059229768446 End=3059236502524 Duration=6734078
Task=1 Chunk=1 Start=3059236502548 End=3059236777613 Duration=275065
Task=2 Chunk=0 Start=3059236502541 End=3059243217396 Duration=6714855
Task=2 Chunk=1 Start=3059243217470 End=3059243490884 Duration=273414
Task=3 Chunk=0 Start=3059243217415 End=3059249923567 Duration=6706152
Task=3 Chunk=1 Start=3059249923631 End=3059250198123 Duration=274492
Task=4 Chunk=0 Start=3059249923569 End=3059256658243 Duration=6734674
Task=4 Chunk=1 Start=3059256658310 End=3059256930276 Duration=271966
Task=5 Chunk=0 Start=3059256658260 End=3059263353120 Duration=6694860
Task=5 Chunk=1 Start=3059263353149 End=3059263632836 Duration=279687
Task=6 Chunk=0 Start=3059263353136 End=3059270058049 Duration=6704913
Task=6 Chunk=1 Start=3059270058087 End=3059270335470 Duration=277383
Task=7 Chunk=0 Start=3059270058067 End=3059276820902 Duration=6762835
Task=7 Chunk=1 Start=3059276820984 End=3059277094181 Duration=273197
Task=8 Chunk=0 Start=3059276820923 End=3059283571606 Duration=6750683
Task=8 Chunk=1 Start=3059283571640 End=3059283848583 Duration=276943
Task=9 Chunk=0 Start=3059283571626 End=3059290281180 Duration=6709554
Task=9 Chunk=1 Start=3059290281206 End=3059290553955 Duration=272749
Task=10 Chunk=0 Start=3059290281201 End=3059297011533 Duration=6730332
Task=10 Chunk=1 Start=3059297011603 End=3059297287621 Duration=276018
Task=11 Chunk=0 Start=3059297011550 End=3059303728401 Duration=6716851
Task=11 Chunk=1 Start=3059303728423 End=3059304001439 Duration=273016
Task=12 Chunk=0 Start=3059303728418 End=3059310466187 Duration=6737769
Task=12 Chunk=1 Start=3059310466229 End=3059310740644 Duration=274415
Task=13 Chunk=0 Start=3059310466204 End=3059317195133 Duration=6728929
Task=13 Chunk=1 Start=3059317195183 End=3059317468421 Duration=273238
Task=14 Chunk=0 Start=3059317195151 End=3059323937368 Duration=6742217
Task=14 Chunk=1 Start=3059323937428 End=3059324212160 Duration=274732
Task=15 Chunk=0 Start=3059323937386 End=3059330672194 Duration=6734808
Task=15 Chunk=1 Start=3059330672260 End=3059330947321 Duration=275061
Task=16 Chunk=0 Start=3059330672199 End=3059337377492 Duration=6705293
Task=16 Chunk=1 Start=3059337377553 End=3059337657439 Duration=279886
Task=17 Chunk=0 Start=3059337377513 End=3059344081953 Duration=6704440
Task=17 Chunk=1 Start=3059344081987 End=3059344356156 Duration=274169
Task=18 Chunk=0 Start=3059344081974 End=3059350827486 Duration=6745512
Task=18 Chunk=1 Start=3059350827538 End=3059351100510 Duration=272972
Task=19 Chunk=0 Start=3059350827504 End=3059357544460 Duration=6716956
Task=19 Chunk=1 Start=3059357544531 End=3059357820636 Duration=276105
Task=20 Chunk=0 Start=3059357544480 End=3059364248660 Duration=6704180
Task=20 Chunk=1 Start=3059364248729 End=3059364547063 Duration=298334
Task=21 Chunk=0 Start=3059364248679 End=3059370935160 Duration=6686481
Task=21 Chunk=1 Start=3059370935200 End=3059371222902 Duration=287702
Task=22 Chunk=0 Start=3059370935178 End=3059377680853 Duration=6745675
Task=22 Chunk=1 Start=3059377680881 End=3059377970565 Duration=289684
Task=23 Chunk=0 Start=3059377680871 End=3059384453729 Duration=6772858
Task=23 Chunk=1 Start=3059384453807 End=3059384742279 Duration=288472
Task=24 Chunk=0 Start=3059384453731 End=3059391203257 Duration=6749526
Task=24 Chunk=1 Start=3059391203341 End=3059391494751 Duration=291410
Task=25 Chunk=0 Start=3059391203276 End=3059397936437 Duration=6733161
Task=25 Chunk=1 Start=3059397936458 End=3059398226658 Duration=290200
Task=26 Chunk=0 Start=3059397936440 End=3059404681066 Duration=6744626
Task=26 Chunk=1 Start=3059404681090 End=3059404972126 Duration=291036
Task=27 Chunk=0 Start=3059404681068 End=3059411420451 Duration=6739383
Task=27 Chunk=1 Start=3059411420529 End=3059411709573 Duration=289044
Task=28 Chunk=0 Start=3059411420469 End=3059418172330 Duration=6751861
Task=28 Chunk=1 Start=3059418172363 End=3059418461632 Duration=289269
Task=29 Chunk=0 Start=3059418172348 End=3059424883122 Duration=6710774
Task=29 Chunk=1 Start=3059424883151 End=3059425173264 Duration=290113
Task=30 Chunk=0 Start=3059424883139 End=3059431601053 Duration=6717914
Task=30 Chunk=1 Start=3059431601141 End=3059431894450 Duration=293309
Task=31 Chunk=0 Start=3059431601070 End=3059438280913 Duration=6679843
Task=31 Chunk=1 Start=3059438280969 End=3059438579327 Duration=298358
Task=32 Chunk=0 Start=3059438280919 End=3059444951839 Duration=6670920
Task=32 Chunk=1 Start=3059444951897 End=3059445242404 Duration=290507
Task=33 Chunk=0 Start=3059444951843 End=3059451641051 Duration=6689208
Task=33 Chunk=1 Start=3059451641114 End=3059451933064 Duration=291950
Task=34 Chunk=0 Start=3059451641056 End=3059458350894 Duration=6709838
Task=34 Chunk=1 Start=3059458350953 End=3059458641478 Duration=290525
Task=35 Chunk=0 Start=3059458350913 End=3059465061779 Duration=6710866
Task=35 Chunk=1 Start=3059465061811 End=3059465351164 Duration=289353
Task=36 Chunk=0 Start=3059465061798 End=3059471763908 Duration=6702110
Task=36 Chunk=1 Start=3059471763955 End=3059472052841 Duration=288886
Task=37 Chunk=0 Start=3059471763926 End=3059478493251 Duration=6729325
Task=37 Chunk=1 Start=3059478493325 End=3059478782583 Duration=289258
Task=38 Chunk=0 Start=3059478493269 End=3059485254803 Duration=6761534
Task=38 Chunk=1 Start=3059485254852 End=3059485546771 Duration=291919
Task=39 Chunk=0 Start=3059485254822 End=3059491965336 Duration=6710514
Task=39 Chunk=1 Start=3059491965382 End=3059492256298 Duration=290916
Task=40 Chunk=0 Start=3059491965357 End=3059498734427 Duration=6769070
Task=40 Chunk=1 Start=3059498734459 End=3059499023779 Duration=289320
Task=41 Chunk=0 Start=3059498734432 End=3059505495634 Duration=6761202
Task=41 Chunk=1 Start=3059505495934 End=3059505852897 Duration=356963
Task=42 Chunk=0 Start=3059505495656 End=3059512259717 Duration=6764061
Task=42 Chunk=1 Start=3059512259780 End=3059512554220 Duration=294440
Task=43 Chunk=0 Start=3059512259722 End=3059519011632 Duration=6751910
Task=43 Chunk=1 Start=3059519011706 End=3059519299616 Duration=287910
Task=44 Chunk=0 Start=3059519011634 End=3059525715914 Duration=6704280
Task=44 Chunk=1 Start=3059525715954 End=3059526005244 Duration=289290
Task=45 Chunk=0 Start=3059525715916 End=3059532394093 Duration=6678177
Task=45 Chunk=1 Start=3059532394176 End=3059532683589 Duration=289413
Task=46 Chunk=0 Start=3059532394110 End=3059539079208 Duration=6685098
Task=46 Chunk=1 Start=3059539079248 End=3059539363895 Duration=284647
Task=47 Chunk=0 Start=3059539079225 End=3059545829366 Duration=6750141
Task=47 Chunk=1 Start=3059545829396 End=3059546118055 Duration=288659
Task=48 Chunk=0 Start=3059545829386 End=3059552580564 Duration=6751178
Task=48 Chunk=1 Start=3059552580613 End=3059552870057 Duration=289444
Task=49 Chunk=0 Start=3059552580569 End=3059559334415 Duration=6753846
Task=49 Chunk=1 Start=3059559334463 End=3059559624822 Duration=290359
Task=50 Chunk=0 Start=3059559334420 End=3059566023947 Duration=6689527
Task=50 Chunk=1 Start=3059566024028 End=3059566319840 Duration=295812
Task=51 Chunk=0 Start=3059566023965 End=3059572759186 Duration=6735221
Task=51 Chunk=1 Start=3059572759246 End=3059573111068 Duration=351822
Task=52 Chunk=0 Start=3059572759205 End=3059579458908 Duration=6699703
Task=52 Chunk=1 Start=3059579458931 End=3059579753560 Duration=294629
Task=53 Chunk=0 Start=3059579458920 End=3059586121425 Duration=6662505
Task=53 Chunk=1 Start=3059586121453 End=3059586409939 Duration=288486
Task=54 Chunk=0 Start=3059586121430 End=3059592808619 Duration=6687189
Task=54 Chunk=1 Start=3059592808700 End=3059593098883 Duration=290183
Task=55 Chunk=0 Start=3059592808640 End=3059599521219 Duration=6712579
Task=55 Chunk=1 Start=3059599521291 End=3059599814931 Duration=293640
Task=56 Chunk=0 Start=3059599521238 End=3059606242417 Duration=6721179
Task=56 Chunk=1 Start=3059606242486 End=3059606536651 Duration=294165
Task=57 Chunk=0 Start=3059606242420 End=3059612980975 Duration=6738555
Task=57 Chunk=1 Start=3059612980999 End=3059613270721 Duration=289722
Task=58 Chunk=0 Start=3059612980994 End=3059619709436 Duration=6728442
Task=58 Chunk=1 Start=3059619709484 End=3059619998814 Duration=289330
Task=59 Chunk=0 Start=3059619709454 End=3059626443704 Duration=6734250
Task=59 Chunk=1 Start=3059626443765 End=3059626751479 Duration=307714
Task=60 Chunk=0 Start=3059626443723 End=3059633152796 Duration=6709073
Task=60 Chunk=1 Start=3059633152877 End=3059633461504 Duration=308627
Task=61 Chunk=0 Start=3059633152798 End=3059639863925 Duration=6711127
Task=61 Chunk=1 Start=3059639864011 End=3059640177944 Duration=313933
Task=62 Chunk=0 Start=3059639863947 End=3059646558719 Duration=6694772
Task=62 Chunk=1 Start=3059646558764 End=3059646865382 Duration=306618
Task=63 Chunk=0 Start=3059646558737 End=3059653312720 Duration=6753983
Task=63 Chunk=1 Start=3059653312767 End=3059653619618 Duration=306851
Task=64 Chunk=0 Start=3059653312738 End=3059660048076 Duration=6735338
Task=64 Chunk=1 Start=3059660048132 End=3059660354886 Duration=306754
Task=65 Chunk=0 Start=3059660048095 End=3059666783546 Duration=6735451
Task=65 Chunk=1 Start=3059666783624 End=3059667091135 Duration=307511
Task=66 Chunk=0 Start=3059666783549 End=3059673534868 Duration=6751319
Task=66 Chunk=1 Start=3059673534936 End=3059673858827 Duration=323891
Task=67 Chunk=0 Start=3059673534887 End=3059680288193 Duration=6753306
Task=67 Chunk=1 Start=3059680288220 End=3059680594887 Duration=306667
Task=68 Chunk=0 Start=3059680288214 End=3059687011544 Duration=6723330
Task=68 Chunk=1 Start=3059687011608 End=3059687324340 Duration=312732
Task=69 Chunk=0 Start=3059687011563 End=3059693709055 Duration=6697492
Task=69 Chunk=1 Start=3059693709116 End=3059694021779 Duration=312663
Task=70 Chunk=0 Start=3059693709073 End=3059700411483 Duration=6702410
Task=70 Chunk=1 Start=3059700411529 End=3059700715636 Duration=304107
Task=71 Chunk=0 Start=3059700411488 End=3059707089208 Duration=6677720
Task=71 Chunk=1 Start=3059707089288 End=3059707399845 Duration=310557
Task=72 Chunk=0 Start=3059707089213 End=3059713771332 Duration=6682119
Task=72 Chunk=1 Start=3059713771419 End=3059714083405 Duration=311986
Task=73 Chunk=0 Start=3059713771337 End=3059720527562 Duration=6756225
Task=73 Chunk=1 Start=3059720527637 End=3059720838656 Duration=311019
Task=74 Chunk=0 Start=3059720527580 End=3059727290339 Duration=6762759
Task=74 Chunk=1 Start=3059727290407 End=3059727632855 Duration=342448
Task=75 Chunk=0 Start=3059727290344 End=3059734026747 Duration=6736403
Task=75 Chunk=1 Start=3059734026783 End=3059734332802 Duration=306019
Task=76 Chunk=0 Start=3059734026749 End=3059740790255 Duration=6763506
Task=76 Chunk=1 Start=3059740790292 End=3059741096096 Duration=305804
Task=77 Chunk=0 Start=3059740790273 End=3059747527721 Duration=6737448
Task=77 Chunk=1 Start=3059747527767 End=3059747834046 Duration=306279
Task=78 Chunk=0 Start=3059747527739 End=3059754296346 Duration=6768607
Task=78 Chunk=1 Start=3059754296402 End=3059754607952 Duration=311550
Task=79 Chunk=0 Start=3059754296349 End=3059761038924 Duration=6742575
Task=79 Chunk=1 Start=3059761038959 End=3059761346063 Duration=307104
Task=80 Chunk=0 Start=3059761038942 End=3059767731908 Duration=6692966
Task=80 Chunk=1 Start=3059767731973 End=3059768044415 Duration=312442
Task=81 Chunk=0 Start=3059767731927 End=3059774496637 Duration=6764710
Task=81 Chunk=1 Start=3059774496724 End=3059774806163 Duration=309439
Task=82 Chunk=0 Start=3059774496656 End=3059781260878 Duration=6764222
Task=82 Chunk=1 Start=3059781260953 End=3059781570291 Duration=309338
Task=83 Chunk=0 Start=3059781260896 End=3059788019104 Duration=6758208
Task=83 Chunk=1 Start=3059788019133 End=3059788327567 Duration=308434
Task=84 Chunk=0 Start=3059788019121 End=3059794766320 Duration=6747199
Task=84 Chunk=1 Start=3059794766388 End=3059795077985 Duration=311597
Task=85 Chunk=0 Start=3059794766338 End=3059801537456 Duration=6771118
Task=85 Chunk=1 Start=3059801537502 End=3059801845812 Duration=308310
Task=86 Chunk=0 Start=3059801537477 End=3059808293568 Duration=6756091
Task=86 Chunk=1 Start=3059808293659 End=3059808602469 Duration=308810
Task=87 Chunk=0 Start=3059808293570 End=3059815050370 Duration=6756800
Task=87 Chunk=1 Start=3059815050440 End=3059815359143 Duration=308703
Task=88 Chunk=0 Start=3059815050388 End=3059821801720 Duration=6751332
Task=88 Chunk=1 Start=3059821801751 End=3059822108073 Duration=306322
Task=89 Chunk=0 Start=3059821801739 End=3059828522485 Duration=6720746
Task=89 Chunk=1 Start=3059828522547 End=3059828830708 Duration=308161
Task=90 Chunk=0 Start=3059828522504 End=3059835270593 Duration=6748089
Task=90 Chunk=1 Start=3059835270629 End=3059835575602 Duration=304973
Task=91 Chunk=0 Start=3059835270612 End=3059841989559 Duration=6718947
Task=91 Chunk=1 Start=3059841989653 End=3059842296945 Duration=307292
Task=92 Chunk=0 Start=3059841989582 End=3059848680423 Duration=6690841
Task=92 Chunk=1 Start=3059848680513 End=3059848984742 Duration=304229
Task=93 Chunk=0 Start=3059848680442 End=3059855400145 Duration=6719703
Task=93 Chunk=1 Start=3059855400176 End=3059855705360 Duration=305184
Task=94 Chunk=0 Start=3059855400163 End=3059862134442 Duration=6734279
Task=94 Chunk=1 Start=3059862134485 End=3059862437921 Duration=303436
Task=95 Chunk=0 Start=3059862134460 End=3059868889557 Duration=6755097
Task=95 Chunk=1 Start=3059868889590 End=3059869194255 Duration=304665
Task=96 Chunk=0 Start=3059868889576 End=3059875624558 Duration=6734982
Task=96 Chunk=1 Start=3059875624683 End=3059875935693 Duration=311010
Task=97 Chunk=0 Start=3059875624576 End=3059882338782 Duration=6714206
Task=97 Chunk=1 Start=3059882338821 End=3059882647008 Duration=308187
Task=98 Chunk=0 Start=3059882338801 End=3059889085935 Duration=6747134
Task=98 Chunk=1 Start=3059889085960 End=3059889394197 Duration=308237
Task=99 Chunk=0 Start=3059889085938 End=3059895805472 Duration=6719534
Task=99 Chunk=1 Start=3059895805502 End=3059896115079 Duration=309577
### Python End ###
