,Execution 1,Execution 2,Execution 3,Execution 4,Execution 5,Execution 6,Execution 7,Execution 8,Execution 9,Execution 10,Execution 11,Execution 12,Execution 13,Execution 14,Execution 15,Execution 16,Execution 17,Execution 18,Execution 19,Execution 20,Execution 21,Execution 22,Execution 23,Execution 24,Execution 25,Execution 26,Execution 27,Execution 28,Execution 29,Execution 30
Run 1,12.430177409999999,8.2668514,7.3453129100000005,7.3412972000000005,8.64826375,7.62576823,6.51930868,6.79469971,6.1403894,6.17728882,7.77938477,12.41104411,9.42259155,10.57104411,7.34213786,7.4783365900000005,9.98157756,9.29070028,8.4230835,12.55250448,8.192336430000001,7.81895304,8.79164388,10.08431437,9.78348389,9.90692424,8.452780350000001,8.84955322,8.17848226,8.03378052
Run 2,12.296148270000002,7.803976639999999,7.17223511,6.61378662,8.2077771,7.48968994,7.6209020999999995,7.33701538,7.303996990000001,6.17389282,6.25103638,8.0122937,9.88225952,10.48550496,8.150850830000001,7.57543905,9.23042358,8.57098551,8.577602950000001,8.45134766,7.679368080000001,9.35233968,9.2306311,9.25948324,10.13216064,11.961677649999999,8.37022217,8.78315715,8.779084880000001,6.8086096199999995
Run 3,12.476246739999999,8.11833008,7.266293950000001,6.68379679,8.33082194,7.54453776,6.62860718,6.19277344,7.14418254,6.46542114,6.6355297900000005,7.74242716,9.13728719,12.80994995,8.70069377,7.655508220000001,9.97533,8.48100586,8.50382161,8.669823000000001,7.75906372,8.73026652,9.11336914,9.16270508,10.056746010000001,9.69894287,8.20923625,8.83479289,8.21198364,6.97436523
Run 4,12.45228638,7.73278768,7.0839335100000005,6.6430175799999995,8.36255575,6.55181112,6.928765459999999,6.7601062,7.19935791,7.3887439,6.39557048,10.438833010000002,8.88567017,8.8500529,7.7581437200000005,7.5523852499999995,9.0544401,8.41286051,8.31634969,8.56527262,9.349432779999999,10.65906047,9.07654215,11.46392863,9.793282060000001,9.68274658,8.43187744,8.88442057,8.25494629,8.32048828
Run 5,12.111789960000001,7.87378296,7.249105220000001,6.61690877,7.335509849999999,7.428645830000001,7.44628988,6.48191772,6.66852091,7.38393148,6.48605509,9.99178833,9.34626383,9.247930910000001,8.03231771,9.20875366,12.915024820000001,8.5883256,8.41923136,9.20883016,9.48688883,9.52681315,8.96192098,11.2577238,9.886816810000001,9.66784627,8.027019450000001,8.77181274,9.15017497,8.3844104
Run 6,10.37939738,7.15019775,7.171979169999999,6.5735424799999995,7.2340743,7.42497314,6.542581790000001,7.3362386100000005,6.03575033,7.32315837,6.1610848,10.02494914,9.30348836,8.94152751,8.12941366,7.52157878,9.24763509,8.5414856,8.4739563,9.51557373,7.810998540000001,7.71331787,9.12055135,9.18653076,9.70518392,9.94826131,7.68930908,8.77015422,8.3846578,7.79615479
Run 7,12.020454919999999,8.16040649,7.372493080000001,6.778835040000001,8.48863851,7.39909546,6.58178833,7.33912923,7.29504517,7.3872741699999995,6.38768066,11.03011637,9.58611613,12.09616536,7.88930745,7.921201989999999,9.18497477,8.41572306,8.57212891,8.3945874,8.71754883,9.504625650000001,9.026232499999999,10.032387700000001,11.57736287,9.74392049,8.06994263,8.84191732,8.33668254,7.703368729999999
Run 8,10.9301237,8.01986816,7.233333330000001,6.5318184399999994,8.09132935,7.47877808,7.2340157099999995,7.32986816,7.479389240000001,7.37842163,6.40223226,7.83157796,11.38688151,10.71327026,8.46458252,7.494836830000001,9.98611328,9.41373006,8.318184,8.662007240000001,8.92231445,9.5296521,9.13977661,9.9301945,9.7870048,9.91624512,8.44822591,8.73382975,9.10887248,6.946463619999999
Run 9,11.626630050000001,8.16733439,7.24444132,6.61857829,8.42881429,7.44728638,6.59260986,6.10516276,7.01793538,7.40731405,6.50319621,9.96005208,9.24834798,9.156366779999999,8.54045288,9.22284871,11.447388100000001,8.59969198,8.37510539,8.36144775,7.78999227,7.73289266,10.61090454,9.887080489999999,9.93950562,9.62632202,7.21559774,8.83630981,9.1478304,6.98736816
Run 10,11.18405436,7.8150642900000005,7.30664795,6.74974813,8.3041862,7.49924886,7.60795369,7.348715009999999,8.11490438,6.67638835,6.9401062,12.20918376,8.941834720000001,8.86317952,8.40231567,7.56663371,9.27044312,8.30583211,9.659778240000001,8.60996785,7.77253784,8.72867798,9.30116699,9.11570923,9.87296956,9.7541276,8.287934159999999,8.895495610000001,8.41158976,7.44971313
