stage,little,medium,big,vulkan,device,run
1,42.0417,10.2437,7.259,3.7301,3A021JEHN02756,1
2,24.5854,12.7595,11.7895,2.2203,3A021JEHN02756,1
3,11.546,3.3262,3.0578,2.2778,3A021JEHN02756,1
4,13.4,7.3358,7.3358,1.8207,3A021JEHN02756,1
5,6.7248,1.8729,1.9068,1.8906,3A021JEHN02756,1
6,6.7736,1.9242,1.9466,1.795,3A021JEHN02756,1
7,6.8596,1.8685,1.9753,1.4176,3A021JEHN02756,1
8,7.1064,3.5595,3.7598,1.1497,3A021JEHN02756,1
9,0.0421,0.0152,0.0128,0.2869,3A021JEHN02756,1
1,20.14,6.1402,5.1378,3.7505,3A021JEHN02756,2
2,25.15,12.7342,12.3436,2.2455,3A021JEHN02756,2
3,11.3277,3.3417,3.1377,2.2732,3A021JEHN02756,2
4,12.6899,6.5523,6.843,1.795,3A021JEHN02756,2
5,6.8197,1.8951,1.9316,1.3695,3A021JEHN02756,2
6,6.9412,1.8996,2.0831,1.4097,3A021JEHN02756,2
7,6.9308,1.8529,2.0212,1.6874,3A021JEHN02756,2
8,7.2609,3.4913,3.8317,1.2138,3A021JEHN02756,2
9,0.0513,0.014,0.0122,0.3286,3A021JEHN02756,2
1,20.701,6.9481,5.5778,3.6576,3A021JEHN02756,3
2,26.1688,13.0,12.4383,2.2364,3A021JEHN02756,3
3,11.8412,3.2208,3.2679,2.2849,3A021JEHN02756,3
4,12.7595,6.5455,6.9517,2.1677,3A021JEHN02756,3
5,6.9241,1.8926,2.0161,1.8997,3A021JEHN02756,3
6,9.3209,1.8888,2.8305,1.4284,3A021JEHN02756,3
7,8.9865,1.8995,2.734,1.9214,3A021JEHN02756,3
8,8.1008,3.8635,4.6613,1.0436,3A021JEHN02756,3
9,0.0499,0.0136,0.0145,0.3622,3A021JEHN02756,3
