stage,little,medium,big,vulkan,device,run
1,33.3833,8.1336,9.7476,5.7314,9b034f1b,1
2,27.2297,16.2419,19.25,3.5193,9b034f1b,1
3,17.3103,4.3054,5.2026,3.6072,9b034f1b,1
4,14.1056,8.3849,9.8088,2.3789,9b034f1b,1
5,9.3785,2.471,2.9212,2.3494,9b034f1b,1
6,9.4319,2.4686,2.9703,2.3357,9b034f1b,1
7,9.5024,2.4734,3.0211,2.3817,9b034f1b,1
8,7.2681,4.4163,5.5262,2.57,9b034f1b,1
9,0.0363,0.0167,0.0117,0.4165,9b034f1b,1
1,34.2373,8.1423,9.8382,5.6827,9b034f1b,2
2,27.4247,16.2419,13.5608,3.819,9b034f1b,2
3,17.3017,4.2891,4.4435,3.6906,9b034f1b,2
4,14.035,8.4059,10.1777,2.3498,9b034f1b,2
5,9.3972,2.4625,3.0272,2.2593,9b034f1b,2
6,9.446,2.4655,2.7127,2.366,9b034f1b,2
7,9.3598,2.4673,2.6481,2.372,9b034f1b,2
8,7.1643,4.4066,5.4754,2.606,9b034f1b,2
9,0.034,0.017,0.0361,0.903,9b034f1b,2
1,33.5833,8.1296,8.6293,5.7479,9b034f1b,3
2,27.2432,16.2016,18.2455,3.8874,9b034f1b,3
3,17.5702,4.2983,5.1943,3.6888,9b034f1b,3
4,14.0909,8.3625,8.8889,2.4547,9b034f1b,3
5,9.3785,2.4673,2.0274,2.2918,9b034f1b,3
6,9.3738,2.4655,3.0045,2.3302,9b034f1b,3
7,9.4528,2.4826,2.9312,2.3221,9b034f1b,3
8,7.1971,4.4097,4.7667,2.531,9b034f1b,3
9,0.0328,0.0169,0.0114,0.9055,9b034f1b,3
