stage,little,medium,big,vulkan,device,run
1,176.0435,61.3485,53.2763,0.6822,3A021JEHN02756,1
2,8.006,3.4126,3.2334,0.3354,3A021JEHN02756,1
3,418.6,139.5333,167.44,0.6801,3A021JEHN02756,1
4,4.3229,1.7352,1.8918,0.2486,3A021JEHN02756,1
5,392.0,139.0968,165.8462,0.7317,3A021JEHN02756,1
6,742.0,278.25,342.4615,1.4389,3A021JEHN02756,1
7,734.6667,275.5,339.0769,1.3749,3A021JEHN02756,1
8,2.3492,0.9502,1.0857,0.23,3A021JEHN02756,1
9,1.1757,0.5856,0.5824,0.7591,3A021JEHN02756,1
1,175.6087,61.197,55.3288,0.5948,3A021JEHN02756,2
2,9.2092,3.2917,3.3949,0.3068,3A021JEHN02756,2
3,429.7,143.2333,171.88,0.6059,3A021JEHN02756,2
4,4.4527,1.6976,1.9008,0.2613,3A021JEHN02756,2
5,390.7273,138.6452,171.92,0.8788,3A021JEHN02756,2
6,751.5,281.8125,346.8462,1.4545,3A021JEHN02756,2
7,855.0,267.1875,328.8462,1.3623,3A021JEHN02756,2
8,3.5158,0.8653,1.3016,0.2462,3A021JEHN02756,2
9,1.5976,0.5987,0.6834,0.7346,3A021JEHN02756,2
1,184.7273,60.6567,56.4444,0.686,3A021JEHN02756,3
2,8.4202,3.3937,3.4227,0.3288,3A021JEHN02756,3
3,421.7,145.4138,168.68,0.5452,3A021JEHN02756,3
4,5.0113,1.7439,1.9012,0.263,3A021JEHN02756,3
5,393.1818,139.5161,173.0,0.8539,3A021JEHN02756,3
6,872.4,272.625,436.2,1.4094,3A021JEHN02756,3
7,835.4,278.4667,379.7273,1.3522,3A021JEHN02756,3
8,2.8423,0.9255,1.2212,0.2352,3A021JEHN02756,3
9,1.2977,0.646,0.6782,0.594,3A021JEHN02756,3
