stage,little,medium,big,vulkan,device,run
1,151.7778,69.4576,45.5333,0.8363,9b034f1b,1
2,11.6764,3.9073,2.4722,0.3718,9b034f1b,1
3,383.5455,183.4348,114.027,0.5712,9b034f1b,1
4,6.3625,1.9474,1.2382,0.2927,9b034f1b,1
5,385.0,176.4583,108.5897,0.5722,9b034f1b,1
6,699.3333,349.6667,209.8,0.8677,9b034f1b,1
7,699.5,349.75,209.85,0.8525,9b034f1b,1
8,4.4467,0.9657,0.6185,0.3082,9b034f1b,1
9,1.2356,0.7318,0.4623,1.4141,9b034f1b,1
1,151.0741,69.1356,45.3222,0.833,9b034f1b,2
2,11.536,3.8714,2.4695,0.3698,9b034f1b,2
3,388.0909,185.6087,115.3784,0.6191,9b034f1b,2
4,7.6667,1.9343,1.2321,0.3396,9b034f1b,2
5,414.2,180.087,106.2051,0.6101,9b034f1b,2
6,691.5,345.75,207.45,0.8936,9b034f1b,2
7,711.5,355.75,213.45,0.9185,9b034f1b,2
8,3.4147,0.9683,0.6329,0.2628,9b034f1b,2
9,1.1764,0.7309,0.4663,1.4113,9b034f1b,2
1,145.6429,69.1186,44.8132,0.8338,9b034f1b,3
2,16.0884,3.9275,2.479,0.4387,9b034f1b,3
3,388.8182,185.9565,115.5946,0.5824,9b034f1b,3
4,6.0015,1.9527,1.2363,0.2938,9b034f1b,3
5,415.8,173.25,109.4211,0.6174,9b034f1b,3
6,649.7143,379.0,227.4,0.9268,9b034f1b,3
7,696.1667,348.0833,208.85,0.8519,9b034f1b,3
8,3.5291,0.9732,0.6256,0.2617,9b034f1b,3
9,1.1883,0.7347,0.4676,1.4153,9b034f1b,3
