stage,little,medium,big,vulkan,device,run
1,128.4062,74.1852,45.9432,1.5552,9b034f1b,1
2,9.2023,4.0952,4.8263,1.028,9b034f1b,1
3,314.5385,188.8182,110.5405,1.2018,9b034f1b,1
4,4.4489,2.0731,1.9783,0.9506,9b034f1b,1
5,296.5714,187.6364,108.8649,1.2306,9b034f1b,1
6,574.1429,369.2727,342.1667,1.4922,9b034f1b,1
7,585.5714,372.9091,218.2105,1.4826,9b034f1b,1
8,2.2433,1.0381,1.2422,0.9221,9b034f1b,1
9,1.0336,0.7825,0.7994,2.4519,9b034f1b,1
1,131.2581,73.8545,53.3467,1.5199,9b034f1b,2
2,8.8869,4.1173,4.878,1.0225,9b034f1b,2
3,306.1429,189.5,214.0526,1.2157,9b034f1b,2
4,4.4511,2.0597,1.9935,0.9554,9b034f1b,2
5,292.7143,185.9091,191.8571,1.2083,9b034f1b,2
6,573.5714,375.3636,377.9091,1.4894,9b034f1b,2
7,588.5714,370.7273,259.25,1.4877,9b034f1b,2
8,2.2445,1.0333,1.2318,0.9262,9b034f1b,2
9,1.0225,0.7813,0.5775,2.4725,9b034f1b,2
1,129.9032,73.4727,65.0323,1.5655,9b034f1b,3
2,8.9,4.1429,3.9781,1.046,9b034f1b,3
3,307.5,190.0455,178.913,1.2138,9b034f1b,3
4,4.4527,2.0666,2.0736,0.957,9b034f1b,3
5,295.4286,187.3636,176.1304,1.247,9b034f1b,3
6,585.0,376.2727,345.25,1.4681,9b034f1b,3
7,582.2857,371.7273,383.2727,1.4877,9b034f1b,3
8,2.2388,1.0357,1.098,0.8651,9b034f1b,3
9,1.0275,0.7811,0.9268,2.2239,9b034f1b,3
