PROCESSOR,AVG,MIN,MAX,Stage
Little,161.515,155.934,180.343,0
Medium,77.3832,68.3118,84.6044,0
Big,99.911,83.6488,129.915,0
GPU,0.828235,0.650269,6.89746,0
Little,7.95976,6.14766,14.2801,1
Medium,4.35523,3.86051,8.90572,1
Big,5.69949,5.55428,12.588,1
GPU,0.443667,0.303345,5.27409,1
Little,365.322,320.982,416.016,2
Medium,186.309,164.376,209.7,2
Big,256.716,251.072,263.818,2
GPU,0.644218,0.509806,4.46932,2
Little,3.24445,2.9871,8.5201,3
Medium,2.22029,1.92139,6.74878,3
Big,2.63906,2.48092,7.66532,3
GPU,0.31268,0.220337,4.30741,3
Little,349.934,307.238,462.584,4
Medium,184.188,158.696,204.96,4
Big,233.618,214.965,248.585,4
GPU,0.979047,0.810954,7.47493,4
Little,710.038,603.115,1015.93,5
Medium,359.372,312.724,393.383,5
Big,478.768,424.401,522.728,5
GPU,1.34369,0.88383,5.57507,5
Little,743.218,609.863,1059.13,6
Medium,373.321,312.972,425.274,6
Big,509.097,501.279,521.675,6
GPU,1.44438,1.06759,5.7179,6
Little,3.21366,3.11292,5.38497,7
Medium,1.28161,1.07068,8.39038,7
Big,1.5482,1.3855,4.47038,7
GPU,0.343581,0.207682,5.52873,7
Little,1.05906,0.986735,2.50085,8
Medium,0.817936,0.714925,3.92932,8
Big,1.00067,0.906453,4.03719,8
GPU,0.912203,0.747965,5.2924,8
