PROCESSOR,AVG,MIN,MAX,Stage
Little,141.204,123.295,160.717,0
Medium,75.7877,75.3833,90.4419,0
Big,51.5286,47.4446,107.41,0
GPU,1.46577,0.913646,13.4277,0
Little,10.5717,10.3211,16.9709,1
Medium,6.01362,3.93891,17.6034,1
Big,2.76291,2.61401,12.1556,1
GPU,0.871149,0.491094,10.7938,1
Little,349.25,335.491,375.794,2
Medium,200.488,199.841,216.15,2
Big,121.875,115.579,239.729,2
GPU,1.15766,0.684688,12.0234,2
Little,5.4649,5.14557,13.9111,3
Medium,2.13048,1.95682,7.44943,3
Big,2.85445,2.61016,19.9133,3
GPU,0.837679,0.431302,10.5677,3
Little,331.144,319.978,348.919,4
Medium,203.691,198.712,215.038,4
Big,113.714,108.913,233.034,4
GPU,1.19509,0.742708,11.5764,4
Little,650.229,631.271,702.365,5
Medium,396.252,385.13,415.584,5
Big,409.061,335.772,471.192,5
GPU,1.54381,0.950417,12.4943,5
Little,651.077,635.068,690.968,6
Medium,396.104,383.901,421.183,6
Big,292.957,217.525,457.352,6
GPU,1.35765,0.974115,10.7202,6
Little,2.64992,2.54974,4.87542,7
Medium,1.36633,0.981094,8.02458,7
Big,1.77247,1.3387,12.7747,7
GPU,0.720005,0.360312,10.9249,7
Little,1.33528,1.19057,7.90432,8
Medium,0.859165,0.77224,7.22443,8
Big,1.13045,1.03807,8.27958,8
GPU,1.86831,1.50687,10.8951,8
