PROCESSOR,AVG,MIN,MAX,Stage
Little,32.4845,31.8172,38.4652,0
Medium,7.24073,6.57089,19.4802,0
Big,8.38501,4.62266,20.6166,0
GPU,5.40863,4.90437,14.4784,0
Little,26.5629,26.036,32.771,1
Medium,15.4528,14.7244,34.7806,1
Big,13.746,9.52818,28.0084,1
GPU,3.60598,2.79823,11.9709,1
Little,16.8579,16.4817,23.8053,2
Medium,3.64405,3.47932,10.779,2
Big,4.91094,2.43729,13.4334,2
GPU,3.25309,2.55406,12.5582,2
Little,13.7804,13.396,19.3419,3
Medium,8.94694,7.57495,18.8735,3
Big,8.06798,5.0025,21.5703,3
GPU,2.25334,1.65938,10.8969,3
Little,9.13879,8.84115,16.4431,4
Medium,2.19637,2.04339,9.91266,4
Big,2.90901,2.78812,10.1778,4
GPU,2.05237,1.73177,11.0849,4
Little,9.11942,8.86448,18.4567,5
Medium,2.1346,2.04396,8.84781,5
Big,2.8702,2.78911,6.67292,5
GPU,2.06454,1.68656,9.79286,5
Little,9.049,8.84328,13.9867,6
Medium,4.24704,4.13333,13.1874,6
Big,2.89423,2.78646,8.16911,6
GPU,2.11348,1.65276,10.7377,6
Little,7.22634,6.82818,14.8492,7
Medium,4.12874,3.98781,8.82146,7
Big,5.44498,5.22901,13.6713,7
GPU,1.43698,0.931042,11.1024,7
Little,0.11556,0.0292188,5.6899,8
Medium,0.0795802,0.0144792,4.88802,8
Big,0.103432,0.0471875,5.51719,8
GPU,0.505878,0.297812,10.4754,8
